Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
Covidien International Finance S.A.,15180,covidien international finance,covidien,Covidien (XETRA),305390,90.4,covidien international,International,206505,92.0,covidien international finance,National Finance,43130,94.0,Covidien
D'ieteren,2446,d'ieteren,d'ieteren,SA d'Ieteren NV,21729,97.2,d'ieteren,SA d'Ieteren NV,21729,97.2,d'ieteren,SA d'Ieteren NV,21729,97.2,
DKT Holdings ApS,7920,dkt holdings aps,dkt,Dkti,7263,88.0,dkt holdings,Trust Holdings,51235,93.4,dkt holdings aps,AG Holdings,44740,93.4,
Delek Petroleum Ltd.,11158,delek petroleum,delek,Delek Group,97548,93.8,delek petroleum,Elk Petroleum,215305,92.2,delek petroleum,Elk Petroleum,215305,92.2,delek
Digicel International Finance Ltd,15072,digicel international finance,digicel,Digicel Group Class A,64269,90.4,digicel international,International,206505,92.4,digicel international finance,National Finance,43130,94.2,Digicel
Dime Community Bank,22259,dime community bank,dime,Dime Community Bancshares,59683,96.4,dime community,Dime Community Bancshares,134072,96.4,dime community bank,Community Bank,71262,97.0,
Dolphin Energy Limited,2705,dolphin energy,dolphin,Blue Dolphin Energy,128432,97.0,dolphin energy,Blue Dolphin Energy,128432,97.0,dolphin energy,Blue Dolphin Energy,128432,97.0,
Drax Holdings Limited,9086,drax holdings,drax,Draxis Health,7328,90.8,drax holdings,Trust Holdings,114528,95.2,drax holdings,Trust Holdings,114528,95.2,Drax
"Duke Energy Kentucky, Inc.",21176,duke energy kentucky,duke,Duke Energy (XETRA),262704,94.4,duke energy,Duke Energy (XETRA),262704,94.4,duke energy kentucky,Duke Energy,157761,94.2,
E.ON International Finance B.V.,16198,e.on international finance b.v.,e.on,Pheonix International Life Science I,208717,74.39999999999999,e.on international,International,206505,91.8,e.on international finance,National Finance,43130,93.6,E.ON
ELLI INVESTMENTS LIMITED,9533,elli investments,elli,Mellin Industries,55957,93.4,elli investments,Investments,42565,96.2,elli investments,Investments,42565,96.2,ELLI
EnBW International Finance B.V.,16185,enbw international finance b.v.,enbw,Enbw Energie Baden-Wuerttemberg,87506,89.0,enbw international,International,206505,91.8,enbw international finance,National Finance,112023,93.6,EnBW
Enel Finance International S.A.,15181,enel finance international,enel,Enel Generacion Chile,88570,92.0,enel finance,Enel,87375,85.4,enel finance international,International,206505,93.4,Enel
Equitable Bank,5100,equitable bank,equitable,Equitable PCI Bank,34364,97.6,equitable bank,Equitable,115126,95.6,equitable bank,Equitable,115126,95.6,
Essar Energy Investment Limited,12452,essar energy investment,essar,Essar Energy (XETRA),311775,94.0,essar energy,Essar Energy (XETRA),311775,94.0,essar energy investment,Essar Energy,46959,93.8,Essar
FAGE International S.A.,15345,fage international,fage,Fagerlid Industrier,42098,90.8,fage international,International,206505,96.8,fage international,International,206505,96.8,FAGE Dairy Industry
FEDBANK FINANCIAL SERVICES LIMITED,11677,fedbank financial services,fedbank,Security Bank,107132,85.4,fedbank financial,Financial Securities,72530,90.2,fedbank financial services,Financial Services,109572,96.4,
FKp Limited,3440,fkp,fkp,FKP Property Group (Non-NASDAQ OTC),236448,83.2,fkp,FKP Property Group (Non-NASDAQ OTC),236448,83.2,fkp,FKP Property Group (Non-NASDAQ OTC),236448,83.2,
"Favorite Brands International, Inc.",21421,favorite brands international,favorite,Guru Favorite Stocks ETF,187088,89.8,favorite brands,Brand,99265,85.8,favorite brands international,International,206505,92.4,
GE Capital Interbanca S.p.A.,12149,ge capital interbanca,ge,GE Capital Bank,167005,95.6,ge capital,GE Capital Bank,167005,95.6,ge capital interbanca,Interbanca,18826,93.0,GE Capital
GEO COAL INTERNATIONAL PTE. LTD.,17967,geo coal international pte.,geo,Geo International,54616,95.4,geo coal,Geo,109832,84.0,geo coal international,Coal International,46190,96.0,
GKN Holdings plc,9069,gkn holdings,gkn,GKN Publishing,65125,92.4,gkn holdings,Trust Holdings,114528,96.0,gkn holdings,Trust Holdings,114528,96.0,GKN
GRAN TIERRA ENERGY INTERNATIONAL HOLDINGS LTD.,15013,gran tierra energy international holdings,gran,Gran Tierra Energy (Toronto),212524,94.0,gran tierra,Gran Tierra Energy (Toronto),212524,94.0,gran tierra energy,Gran Tierra Energy (Toronto),212524,94.0,GRAN TIERRA
Gmac International Finance B.V.,16132,gmac international finance b.v.,gmac,GMAC Pines 7.30%,144791,88.6,gmac international,International,206505,91.8,gmac international finance,National Finance,43130,93.6,GMAC
"Gome Holdings Group Co., Ltd.",6959,gome holdings group,gome,Gomero Group,119128,94.2,gome holdings,Trust Holdings,114528,91.8,gome holdings group,Trust Holdings,51235,91.8,
H&R Real Estate Investment Trust,4932,h&r real estate investment,h&r,H&R Real Estate Investment Trust Staple Unit,80611,96.2,h&r real,H&R Real Estate Investment Trust Staple Unit,80611,96.2,h&r real estate,H&R Real Estate Investment Trust Staple Unit,80611,96.2,
HANDELSBANKEN PLC,9908,handelsbanken,handelsbanken,Andelsbanken,5104,99.2,handelsbanken,Andelsbanken,5104,99.2,handelsbanken,Andelsbanken,5104,99.2,
"HC2 HOLDINGS, INC.",20445,hc2 holdings,hc2,HC2 Holdings Warrants 'A3' 01/07/2014,205989,89.8,hc2 holdings,Trust Holdings,114528,96.0,hc2 holdings,Trust Holdings,114528,96.0,HC2
HETA ASSET RESOLUTION AG,2880,heta asset resolution,heta,Hetan Technologies,35215,90.2,heta asset,Theta Asset Management AS2 4.40% AUG27 ETF,150067,89.6,heta asset resolution,Asset Resolution,81360,97.2,
