Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Gulf Energy Development Public Company Limited,18166,gulf energy development public company,gulf,Gulf Energy Development NVDR,175161,95.2,gulf energy,Gulf Energy Development NVDR,175161,95.2,gulf energy development,Gulf Energy Development NVDR,175161,95.2
Hospitality Properties Trust,19361,hospitality properties,hospitality,Ryman Hospitality Properties,134964,97.6,hospitality properties,Ryman Hospitality Properties,134964,97.6,hospitality properties,Ryman Hospitality Properties,134964,97.6
"ICG Group, Inc.",18615,icg group,icg,ICG Group (XETRA),306404,93.8,icg group,Group,54856,94.2,icg group,Group,54856,94.2
NEWPAGE CORPORATION,21985,newpage corporation,newpage,Newpage Holding Corporation,75297,96.6,newpage corporation,AB Corporation,23877,94.6,newpage corporation,AB Corporation,23877,94.6
"NeoStem, Inc.",20339,neostem,neostem,Stem,135085,94.6,neostem,Stem,135085,94.6,neostem,Stem,135085,94.6
PACIFIC WESTERN BANK,22744,pacific western bank,pacific,Pacific West Bank,131187,98.4,pacific western,Pacific Western Investments,10916,94.4,pacific western bank,Pacific,37846,90.4
PEARSON HOLDINGS INC.,22396,pearson holdings,pearson,Pearson Longman,49635,94.2,pearson holdings,Parkson Holdings,112655,94.0,pearson holdings,Parkson Holdings,112655,94.0
Quality Systems Inc,18726,quality systems,quality,Quality Quest Systems,11516,96.6,quality systems,Quality Systems (XETRA),307974,95.8,quality systems,Quality Systems (XETRA),307974,95.8
"SENSATA TECHNOLOGIES, INC.",22140,sensata technologies,sensata,Sensata Technologies Holding,135000,96.6,sensata technologies,Sensata Technologies Holding,135000,96.6,sensata technologies,Sensata Technologies Holding,135000,96.6
"SOUTHWEST GAS, LLC",24438,southwest gas,southwest,Southwest Banks,77042,97.2,southwest gas,Southwest Gas (XETRA),308401,95.2,southwest gas,Southwest Gas (XETRA),308401,95.2
SSP FINANCING LIMITED,9334,ssp financing,ssp,SSPN Finance,104798,96.0,ssp financing,Financing,17627,96.4,ssp financing,Financing,17627,96.4
Security Capital Group Incorporated,21445,capital group,capital,Securities Capital Group B,68036,98.6,capital group,Securities Capital Group B,68036,98.6,capital group,Securities Capital Group B,68036,98.6
Sixt Aktiengesellschaft,7482,sixt aktiengesellschaft,sixt,Sixt (Vienna Stock Exchange),274539,90.2,sixt aktiengesellschaft,STO Aktiengesellschaft,170674,91.4,sixt aktiengesellschaft,STO Aktiengesellschaft,170674,91.4
Soco International PLC,714,soco international,soco,Soco International (XETRA),315624,96.4,soco international,International,206505,96.8,soco international,International,206505,96.8
South Jersey Gas Company,21467,south jersey gas company,south,South Jersey Gas,68413,96.0,south jersey,South Jersey Gas,68413,96.0,south jersey gas,South Jersey Gas,68413,96.0
Stw Communications Group Ltd,3011,stw communications group,stw,STW Communications Group (Berlin),289506,96.8,stw communications,STW Communications Group (Berlin),289506,96.8,stw communications group,Communications Group,82286,98.2
"TAL International Group, Inc.",18703,tal international group,tal,Crystal International Group,97527,98.4,tal international,Crystal International Group,97527,98.4,tal international group,Crystal International Group,97527,98.4
TIM S/A,4483,tim s/a,tim,Time Air,13030,93.4,tim s/a,Tim,114294,92.0,tim s/a,Tim,114294,92.0
TSX Group Inc,705,tsx group,tsx,TSX Group 144A,210683,95.6,tsx group,TSX Group 144A,210683,95.6,tsx group,TSX Group 144A,210683,95.6
Telekomunikasi Indonesia TBK,1824,telekomunikasi indonesia tbk,telekomunikasi,Gihon Telekomunikasi Indonesia,100759,96.6,telekomunikasi indonesia,Gihon Telekomunikasi Indonesia,100759,96.6,telekomunikasi indonesia tbk,Telekomunikasi,174309,93.4
"The Geo Group, Inc.",20066,the geo group,the,The GYM Group,127228,97.0,the geo,Geo,109832,87.6,the geo group,Geo Group,134260,96.4
True Corporation Public Company Limited,18111,true corporation public company,true,True Corporation Nil Paid,230625,95.0,true corporation,True Corporation Nil Paid,230625,95.0,true corporation public,True Corporation,116297,93.6
Valley National Bank,21992,valley national bank,valley,Valley National Bancorp,201637,97.6,valley national,Valley National Bancorp,201637,97.6,valley national bank,First Valley National Bank,72669,97.4
"Vasco Data Security International, Inc.",19023,vasco data international,vasco,Vasco Data Security (XETRA) International,308954,97.2,vasco data,Vasco Data Security (XETRA) International,308954,97.2,vasco data international,Data International,118148,97.2
