Target Name,Target No.
ISOBEL FINANCE NO. 2 PLC,9695
ISS Finance B.V.,7926
ISS GLOBAL A/S,7898
Istituto Nazionale di Credito Edilizio,12194
"Istrobanka, a.s.",18011
Itau Administradora General de Fondos S.A.,5798
ITAU BBA COLOMBIA S.A CORPORACION FINANCIERA,7346
ITAU BBA INTERNATIONAL PLC,9565
ItauBank Leasing Arrendamento Mercantil SA,4123
ITC Midwest LLC,22440
ITIQUIRA ENERGETICA S/A,4207
ITK Holding Zartkoruen Mukodo Reszvenytarsasag,10694
ITT Industries Luxembourg S.ar.l.,15385
ITW Finance Europe S.A.,15182
IVL SINGAPORE PTE. LTD.,17936
"IXE BANCO, S.A.",15606
IXIS Corporate & Investment Bank (Frankfurt Br,7649
"J.M.R. - Gestao de Empresas de Retalho, SGPS,",17037
"J2 CLOUD SERVICES, LLC",24527
Jababeka International B.V.,16269
Jackson National Life Funding LLC,14685
