Target Name,Target No.
ORIX Bank Corporation,13543
ORIX Capital Korea Corporation,14385
ORIX Credit Corporation,13606
ORIX Credit Malaysia Sdn Bhd,16026
ORIX LEASING & FINANCIAL SERVICES INDIA LTD,11759
ORIX Leasing Malaysia Berhad,15845
ORIX METRO LEASING AND FINANCE CORPORATION,16902
ORIX USA Corporation,21520
ORLEN Capital AB,17609
Ormat Funding Corp.,21875
Orocobre Ltd,3165
ORPEA BELGIUM S.A.,3791
OSA GOLIATH PTE. LTD.,17908
OSK I CM SDN. BHD.,16009
OSKIB SDN. BHD.,15830
Ostasiatiske KOM A/S,1203
Ostplatz Leipzig Work & Life GmbH & Co. KG,7806
OSTRO ENERGY PRIVATE LIMITED,11839
OSTRO RENEWABLES PRIVATE LIMITED,11691
OTE PLC,9076
OTKRYTIYE BROKER AO,17239
"Otkrytoe aktsionernoe obshchestvo ""Sankt-Peter",17264
"Otkrytoe aktsionernoe obshchestvo ""Vimm-Bill'-",17209
Otokoc Otomotiv Ticaret ve Sanayi Anonim Sirke,18261
OTP Jelzalogbank Zartkoruen Mukodo Rt.,10679
OTTAWA HOLDINGS PTE. LTD.,17903
OUE CT TREASURY PTE. LTD.,17953
OUTDOOR INC.,23806
Outsourcing Solutions Inc.,21386
OvaScience Inc,23470
OVINTIV CANADA ULC,5446
OVPH LIMITED,14978
Owens-Brockway Glass Container Inc.,21697
OXFORD STREET FINANCE LIMITED,12420
OXLEY MTN PTE. LTD.,17950
OZARK CAPITAL STATUTORY TRUST V,22952
OZTEL HOLDINGS SPC LIMITED,2736
P. H. Glatfelter Company,20391
P.T. Bank Negara Indonesia (Persero) Tbk,9417
P.T. Summit Oto Finance,10811
P4 SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,16995
PAC LEASE BERHAD,15863
Paccar Financial Corp.,21223
PACCAR Financial Europe B.V.,16197
"PACCAR Financial Mexico, S.A. de C.V., Socieda",15633
PACCAR Financial PLC,9427
PACCAR FINANCIAL PTY. LTD.,3426
PACCAR of Canada Ltd.,5128
PACIFIC BELL TELEPHONE COMPANY,21087
Pacific Drilling First Lien Escrow Issuer Limi,24719
Pacific Drilling Second Lien Escrow Issuer Lim,24718
"PACIFIC ETHANOL CENTRAL, LLC",18554
PACIFIC PREMIER BANK,23406
Pacific Rubiales Energy Corp.,4821
Pacifico S.A. Entidad Prestadora de Salud,16840
PACKET ONE NETWORKS (MALAYSIA) SDN. BHD.,15898
PACNET LIMITED,10443
PACTIV EVERGREEN GROUP HOLDINGS INC.,16710
Paddy Power PLC,10909
Pages Jaunes Solutions numeriques et medias Li,5316
Pagesjaunes,906
PagesJaunes Finance & Co. S.C.A.,15225
PAKUWON PRIMA PTE. LTD.,17921
PALIWAL REAL ESTATE LIMITED,12045
Pan American Energy LLC (Sucursal Argentina),2787
PANAMA CANAL RAILWAY COMPANY,16747
Panasonic Finance (Europe) Plc,9431
PANHANDLE STATE BANK,22658
Panther Ventures Limited,10641
"Pantos Logistics Co.,Ltd",14466
PARAGON ASRA HOUSING LIMITED,9833
PARAGON LOAN FINANCE (NO. 1) PLC,9129
PARAGON MORTGAGES (NO.10) PLC,9261
PARAGON MORTGAGES (NO.11) PLC,9274
Paragon Mortgages (No.12) PLC,9289
Paragon Mortgages (No.13) PLC,9331
PARAGON MORTGAGES (NO.14) PLC,9327
Paragon Mortgages (NO.6) PLC,9183
PARAGON MORTGAGES (NO.7) PLC,9211
Paragon Mortgages (No.8) PLC,9225
PARAGON MORTGAGES (NO.9) PLC,9253
PARAGON OFFSHORE DRILLING LLC,22090
PARAGON PERSONAL AND AUTO FINANCE (NO. 3) PLC,9248
