Target Name,Target No.
GOLDEN LEGACY PTE. LTD.,17917
Goldfarb Incorporacoes Construcoes S.A.,4294
GOLDMAN SACHS (INDIA) FINANCE PRIVATE LIMITED,11606
Goldschmiedgasse 1 Besitzgesellschaft m.b.H. W,2876
GOLDWIND NEW ENERGY (HK) INVESTMENT LIMITED,10552
GORAKHPUR INFRASTRUCTURE COMPANY PRIVATE LIMIT,11748
GOSUDARSTVENNAYA TRANSPORTNAYA LIZINGOVAYA KOM,17271
"GOVCO, LLC",22424
GP WIND (JANGI) PRIVATE LIMITED,11603
GPAT Compania Financiera S.A.,2793
GPB AEROFINANS OOO,17286
GPB EUROBOND FINANCE PUBLIC LIMITED COMPANY,10953
GPB-PROYEKT OOO,17292
GPN Capital S.A.,15245
GRACECHURCH CARD PROGRAMME FUNDING PLC,9469
GRACECHURCH MORTGAGE FINANCING PLC,9322
Grand Renewable Solar LP,5359
Grande Dixence SA,5575
GRANITE MASTER ISSUER PLC,9239
"GRANVIA, a.s.",18018
"GRAY ESCROW II, INC.",25179
