Target Name,Target No.
OCBC Bank (Malaysia) Berhad,15851
OCBC Wing Hang Bank (China) Limited,7000
OCBC Wing Hang Bank Limited (Macau),15471
OCCIDENTAL DE COLOMBIA LLC,7344
Oceanografia SA de CV,15618
Ochiba 2015 B.V.,16386
"OCI Specialty Co., Ltd",14484
OCP S.A.,15449
OEBB-Infrastruktur Aktiengesellschaft,2887
Oersted Wind Power TW Holding A/S,7925
Oesterreichische Hotel- und Tourismusbank Gese,2896
OFFENTLIG BYGG KONGSVINGER AS,16614
"Office Depot de MEXICO, S.A. de C.V.",15658
Office Depot Inc,1585
OFFICINE MACCAFERRI - S.P.A.,12321
Offshore Group Investment Limited,14867
OFIR OPTRONIKA BE`AM,11145
OGUCHI BOOK BINDING & PRINTING CO. LTD.,13648
OGX Austria GmbH,2901
OGX Maranhao Petroleo e Gas Ltda,4272
OHL OPERACIONES SA,8174
