Target Name,Target No.
FEDBANK FINANCIAL SERVICES LIMITED,11677
FKp Limited,3440
GEO COAL INTERNATIONAL PTE. LTD.,17967
Gmac International Finance B.V.,16132
"Gome Holdings Group Co., Ltd.",6959
H&R Real Estate Investment Trust,4932
HANDELSBANKEN PLC,9908
HETA ASSET RESOLUTION AG,2880
Hitachi International Treasury Ltd,17805
Hypo Real Estate International Trust I,22366
Iaws Group PLC,2503
IBM International Group Capital LLC,22387
JM FINANCIAL SERVICES LIMITED,11680
Jupiter International Group PLC,9045
KEB HANA BANK,3663
KEB HANA BANK,17817
KGI INTERNATIONAL HOLDINGS LIMITED,14840
LAND SECURITIES P L C,9031
LIN Television Corporation,21376
"LYB INTERNATIONAL FINANCE III, LLC",24914
