Target Name,Target No.
RESOURCE CAPITAL TRUST II,20923
RESPARCS FUNDING II LIMITED PARTNERSHIP,12402
RESPARCS Funding Limited Partnership I,10371
Resurs Bank Aktiebolag,17631
"Retail Opportunity Investments Partnership, LP",23630
Reti Bancarie S.p.A.,12186
"RETROPHIN, INC.",19693
REVLON ESCROW CORPORATION,22849
REYNOLDS GROUP HOLDINGS LIMITED,16694
REYNOLDS GROUP ISSUER INC.,16711
REYNOLDS GROUP ISSUER LLC,16703
RF Alts Finance I Ltd,14735
R-FMZ Immobilienholding GmbH,2898
RGA Capital Trust I,21692
RGS (Aegco) Funding Corp,21170
RH INTERNATIONAL (SINGAPORE) CORPORATION PTE.,17918
RHB Investment Bank Berhad,15817
RHB ISLAMIC BANK BERHAD,15852
Rhein-Main Securitisation Limited,12395
RHI AG,2824
RHI AG,2174
Rhiag - Inter Auto Parts Italia S.p.A.,12156
"RHODES INVESTMENT, SICAV, S.A.",7993
Rhone-Poulenc Equity Finance BV,16187
"Rialto Holdings, LLC",23761
RIBER - KWS SEMENTES LTDA,4519
Richemont International Holding S.A.,15376
Ricoh Finance Corporation,21226
Ricoh USA Inc,20144
RIG CAPITAL TRUST I,21891
Rinker Materials Corporation,21307
Rio Casca Energetica S.A.,4544
Rio Tinto Alcan Inc,5109
Rio Tinto America Inc.,21628
Rio Tinto Finance (USA) Limited,3288
Rio Tinto Finance (USA) plc,9353
Rio Tinto Finance PLC,9191
RISLAND (THAILAND) COMPANY LIMITED,18171
Rite Aid Lease Management Company,22186
Riveria Commercial Developers Limited,12038
RKI Overseas Finance 2016 (A) Limited,25355
RKI Overseas Finance 2016 (B) Limited,10569
RKP Overseas Finance 2016 (A) Limited,25366
RKPF Overseas 2019 (A) Limited,10612
RKPF Overseas 2019 (B) Limited,10610
RKPF OVERSEAS 2019 (E) LIMITED,10629
RKPF Overseas 2020 (A) Limited,10645
RL FINANCE BONDS NO. 2 PLC,9613
RL FINANCE BONDS NO. 3 PLC,9751
RL FINANCE BONDS NO. 4 PLC,9928
RMAC 2004-NS1 PLC,9194
RMAC 2004-NSP2 PLC,9218
RMP Energy Inc.,4612
RN Financial Structures B.V.,16159
"ROAD INFRASTRUCTURE INVESTMENT HOLDINGS, INC.",23420
ROAD MANAGEMENT SERVICES (A13) PLC,9080
Robeco Bank Holding B.V.,16246
Robeco Direct N.V.,16245
Robeco Institutional Asset Management B.V.,16267
ROBERT BOSCH FINANCE LLC,22486
Robert Bosch Investment Nederland B.V.,16277
Robinson Department Store Public Company Limit,18099
Robinsons Bank Corporation,16913
Roche Finance Europe BV,16214
Roche Kapitalmarkt AG,5579
ROCHELLE BUILDERS & CONSTRUCTIONS PRIVATE LIMI,11980
ROCKFORD BANK AND TRUST COMPANY,23163
ROCKIES EXPRESS PIPELINE LLC,22159
ROCKLAND TRUST COMPANY,22473
Rockville Bank,23370
"Rockville Financial, Inc.",20495
"Rockwood Specialties Group, Inc.",21822
Rodamco Europe Finance B.V.,16221
Rodamco Sverige AB,17543
RODONORTE - Concessionaria de Rodovias Integra,4111
Rodovia das Cataratas S/A Ecocataratas,4223
Rodovias Integradas do Oeste S.A.,4228
"ROLLER BEARING COMPANY OF AMERICA, INC.",21323
Rombo Compania Financiera S.A.,2791
Rongxingda Development (BVI) Limited,25418
"Ronshine (Fujian) Investment Group Co., Ltd.",6951
ROSE-HS1 SGPS SOCIEDADE UNIPESSOAL LDA,17071
ROSEKSIMBANK AO,17259
