Target Name,Target No.
LKQ ITALIA BONDCO S.P.A.,12345
LLOYDS BANK CORPORATE MARKETS PLC,9840
LLOYDS BANK CORPORATE MARKETS PLC (New York Br,24721
Lloyds TSB Capital 2 L.P.,12390
LLPL CAPITAL PTE. LTD.,17970
LM GROUP HOLDING A/S,7912
LMA S.A.,8418
LMA-AMERICAS LLC,22542
LMIRT CAPITAL PTE. LTD.,17886
LOCAP LLC,22397
Lockheed Martin Tactical Systems Inc.,21305
Log & Print Grafica e Logistica S.A.,4183
LOG Commercial Properties e Participacoes S.A.,4259
Logo Star Limited,25298
LOJAS RIACHUELO SA,4402
London Power Networks PLC,9120
LONGHURST GROUP LTD,9537
Lonza Swiss Finanz AG,5600
Loral Skynet Corporation,21407
L'Oreal USA Inc.,22277
Lorillard Tobacco Company,22812
LOS ANGELES CALIF DEPT WTR & PWR REV,22524
Lotos Exploration and Production Norge AS,16576
"LOTTE ASSET DEVELOPMENT CO.,LTD",14524
"Lotte Card Co., Ltd.",14249
"LOTTE CULTUREWORKS CO., LTD.",14599
"LOTTE GRS Co., Ltd.",14461
LOTTE LOGISTICS CORP.,14386
Lotte Properties (Shenyang) Limited,10435
LOTTE SHOPPING BUSINESS MANAGEMENT (HONG KONG),10474
Louisville Gas & Electric Co,21039
Lower Mattagami Energy Limited Partnership,5192
LOXAM S.A.S.,8563
LR REALKREDIT A/S,7900
LRP Landesbank Rheinland-Pfalz (Luxembourg Bra,15152
LS Cable Ltd,14306
LS Finance (2017) Limited,25246
LS Finance (2022) Limited,25260
LS Finance (2025) Limited,25338
"LS MTRON CO., LTD.",14303
LS Power Funding Corporation,21437
LSD Bonds (2017) Limited,25387
LSEG Netherlands,16488
LSEGA FINANCING PLC,9960
LSF9 Balta Issuer S.A.,15325
LTX-Credence Corporation,20222
LUKOIL CAPITAL DESIGNATED ACTIVITY COMPANY,11095
Lukoil International Finance B.V.,16258
LUKOIL Securities B.V.,16472
Luminor Bank AS,7934
LUNAR FUNDING V PUBLIC LIMITED COMPANY,10945
Lundin Energy Finance B.V.,16493
LUTHER BURBANK SAVINGS,23278
LVMH Finance Belgique,3784
LVMH MOET HENNESSY LOUIS VUITTON INC.,24569
LXI REIT,9814
LXP Capital Trust I,22537
LYB International Finance II B.V.,16401
LYNX I CORP.,23541
Lynx II Corp.,23540
"Lyondell Chemical Worldwide, Inc.",21602
LYONDELLBASELL INVESTMENT LLC,24017
M&G HIGH INCOME INVESTMENT TRUST P.L.C.,8899
M&T Capital Trust II,21410
M&T Capital Trust III,21343
M&T Capital Trust IV,20879
M.R.L POSNET PRIVATE LIMITED,11758
Ma'aden Phosphate Company,17379
Macquarie Atlas Roads Group,3481
Macquarie Bank Limited,9220
Macquarie Bank Limited,1954
MACQUARIE BANK LIMITED SINGAPORE BRANCH,17877
Macquarie Capital Funding L.P.,12413
Macquarie Finance (India) Private Limited,11605
Macquarie Finance Limited,3304
Macquarie Fortress Investments Limited,3352
Macquarie Internationale Investments Limited,9380
Macquarie PMI LLC,23124
Macquarie Securities Korea Limited,14313
Macquarie Structured Products Europe GmbH,7699
MACQUARIE STRUCTURED SECURITIES (EUROPE) PUBLI,11003
"Macys Retail Holdings, Inc.",22012
"MACY'S RETAIL HOLDINGS, LLC",25047
