Target Name,Target No.
BNP Paribas SA,3309
BNP Paribas SA,22130
BNP Paribas SA,22119
BNP Paribas SA,21915
BNP Paribas SA,5072
BNP Paribas SA,10343
BNP Paribas SA (New York Branch),22296
BNP Paribas US Structured MTN Program LLC,21820
"BNP Paribas, S.A. de C.V., SOFOM",15639
Brookfield BRP Holdings (Canada) Inc.,5222
Brookfield Energia Renovavel S.A.,4464
BROOKFIELD FINANCE I (UK) PLC,9950
Brookfield Finance Inc.,5358
BROOKFIELD FINANCE LLC,24468
BROOKFIELD INCORPORACOES S.A.,4018
Brookfield Infrastructure Holdings (Canada) In,5154
Brookfield Power Corporation,5114
Brookfield Power Inc,4993
Brookfield Property Finance ULC,5419
Brookfield US Holdings Inc.,5325
