Target Name,Target No.
HOUGHTON MIFFLIN HARCOURT PUBLISHERS INC.,23210
Housing 21,9850
HOWES CAPITAL LIMITED,25248
HPCL-MITTAL ENERGY LIMITED,11558
HPCL-MITTAL PIPELINES LIMITED,11632
HPHT FINANCE (15) LIMITED,14960
HPHT FINANCE (17) LIMITED,15006
HPHT FINANCE (19) LIMITED,15037
HPHT FINANCE (21) LIMITED,10647
HRT Participacoes em Petroleo SA,4243
HRU S.A.,25187
HS Orka hf,12052
HSB Capital I,21351
HSBC Amanah Malaysia Berhad,15895
HSBC Bank (China) Company Limited,6433
HSBC Bank (Taiwan) Limited,18468
HSBC BANK ANONIM SIRKETI,18247
HSBC Bank Argentina SA,2782
HSBC Bank Australia Limited,3290
HSBC BANK BRASIL - BANCO MULTIPLO,14952
HSBC Bank Brasil SA,4089
HSBC BANK CAPITAL FUNDING (STERLING 1) L.P.,12393
HSBC BANK CAPITAL FUNDING (STERLING 2) L.P.,12409
HSBC Bank Malaysia Behard,15826
HSBC BANK MIDDLE EAST LIMITED,2726
HSBC Bank Middle East Limited,12412
HSBC Bank Peru S.A.,16802
HSBC Bank PLC,8784
HSBC Bank Plc,3446
HSBC Bank USA NA,10484
HSBC Bank USA NA (Cayman Islands Branch),14748
HSBC BANK USA NATIONAL ASSOCIATION,22573
"HSBC Bank USA, National Association",21995
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO,4179
HSBC Canada Asset Trust,4934
HSBC Capital Funding (Dollar 1) L.P.,12394
HSBC Capital Funding (Dollar 2) L.P.,12407
HSBC Capital Funding (Euro 2) L.P.,12406
HSBC Capital Funding (Euro 3) LP,9204
HSBC Colombia S.A.,7285
HSBC Covered Bonds (France),8531
HSBC Finance Capital Trust IX,22025
HSBC Finance Corporation,20853
HSBC France,8283
HSBC Holdings (Luxembourg) SA,15088
HSBC Institutional Trust Services (Singapore),17825
HSBC Institutional Trust Services (Singapore),17844
HSBC INVESTDIRECT FINANCIAL SERVICES (INDIA) L,11538
HSBC Investment Bank (Netherlands) NV,16173
HSBC Markets (Bahamas) Limited,4569
"HSBC Mexico, S.A.",15574
HSBC UK BANK PLC,9900
HSH N Finance (Guernsey) Limited,9994
"Hua Nan Commercial Bank, Ltd.",18443
"Hua Xia Bank Co., Limited, Hong Kong Branch",10649
"Huachuang Securities Co., Ltd",6700
"Huadian Hubei Power Generation Co., Ltd.",6735
"Huarong Finance 2017 Co., Ltd.",25365
"Huarong Finance 2019 Co., Ltd.",10615
Huarong Finance Co. Ltd.,25313
"Huarong Finance II Co., Ltd.",25324
"Huarong Huitong Asset Management Co., Ltd.",7068
Huarong Jinshang Asset Management Co Ltd,7098
"Huarong Real Estate Co., Ltd.",6971
"Huarong Rongde Asset Management Co., Ltd.",6920
"Huarong Securities Co., Ltd.",6463
"Huarong Tianze Investment Co., Ltd.",6954
HUARONG UNIVERSE INVESTMENT HOLDING LIMITED,25396
HUARONG XIANGJIANG BANK CORPORATION LIMITED,6766
"Huatai Futures Co., Ltd.",7026
Huatai International Financial Products Limite,25403
"Huaxia Financial Leasing Co., Ltd.",7117
Huaxin Cement International Finance Company,7254
"HUBEI QINGJIANG HYDROELECTRIC DEVELOPMENT CO.,",6366
"Hubei Xinyegang Steel Co., Ltd",6733
"Hunan Yingde Gas Co.,Ltd.",6743
"Hunter Ridge Holdings, Inc.",21383
Huntington Capital I,21630
Huntington Capital II,21481
Huntington Capital III,22332
Huntsman Advanced Materials LLC,21836
Hutchison Ports (UK) Finance PLC,9042
Hutchison Whampoa Europe Finance (12) Limited,14905
