Target Name,Target No.
"ALEX ALPHA, LLC",23550
ALFA BOND ISSUANCE PUBLIC LIMITED COMPANY,10954
Algarve International B.V.,16195
ALIANT INC,1940
ALION SCIENCE AND TECHNOLOGY CORPORATION,21969
ALLCHECKDEALS INDIA PRIVATE LIMITED,11906
Allfirst Preferred Capital Trust,21564
Alliander N.V.,16190
ALLY BANK,22191
ALMAVIVA - THE ITALIAN INNOVATION COMPANY S.P.,12308
ALME LOAN FUNDING III DESIGNATED ACTIVITY COMP,11040
"Alon Refining Krotz Springs, Inc.",22520
ALPS Capital II PLC,10972
ALSOL ENERGIAS RENOVAVEIS S/A,4498
"ALTA WIND HOLDINGS, LLC",23050
"AltaLink Investments, L.P.",5116
"Altalink, L.P.",5066
"ALTERNEGY, S.A.",16765
Alto Parana S.A.,2784
Alxa Zuoqi Urban Construction Investment Devel,6843
Amangeldy Gas limited liability partnership,15069
