Target Name,Target No.
Genworth Financial Mortgage Insurance Pty Limi,3413
Genworth Global Funding Trust,22059
"GENWORTH HOLDINGS, INC.",25168
Genworth Life and Annuity Insurance Company,22062
"Genworth Mortgage Holdings, Inc.",25056
"GEO CORRECTIONS HOLDINGS, INC.",23860
Georg Fischer Finanz AG,5630
Georgia Gulf Corporation,20068
GEOTEK SEYSMORAZVEDKA PAO,17258
Gerdau Holdings Inc.,22932
Gerdau Trade Inc.,25227
Gerry Weber International Aktiengesellschaft,7530
GESTAMP AUTOMOTIVE CHENNAI PRIVATE LIMITED,11722
Gestamp Eolica Lagoa Nova S.A.,4350
Gestamp Funding Luxembourg S.A.,15266
"GET REAL, INC.",21986
GF Global Capital Limited,10639
GHATAMPUR TRANSMISSION LIMITED,11920
GHG Finance Limited,14728
Gibraltar Investments,9478
GIE PSA Tresorerie,8424
Givaudan Finance Europe B.V.,16471
Gjensidige Bank AS.,16560
Gjensidige Bank Boligkreditt AS,16570
GJENSIDIGE PENSJONSFORSIKRING AS,16603
GK BANK RAZVITIYA I VNESHNEEKONOMICHESKOY DEYA,17247
GK SEGEZHA OOO,17281
Glacier Bank,23407
GLACIER CAPITAL TRUST III,22068
Glacier Credit Card Trust,5077
GlaxoSmithKline Finance PLC,9318
GLENCORE AUSTRALIA HOLDINGS PTY LIMITED,3590
GLENCORE CANADA CORPORATION,5463
GLENCORE CAPITAL FINANCE DESIGNATED ACTIVITY C,11088
GLENCORE FINANCE (EUROPE) LIMITED,12493
Glencore Finance (Europe) S.A.,15139
"Glencore Funding, LLC",21907
Glencore Investment Pty Limited,3299
GLENS FALLS NATIONAL BANK AND TRUST COMPANY,22250
GLL IHT PTE. LTD.,17842
"GLOBAL AIRCRAFT LEASING CO., LTD",15033
GLOBAL ATLANTIC (FIN) COMPANY,24303
Global Business Power Corporation,16905
"GLOBAL CASH ACCESS, INC.",21873
"GLOBAL COMMUNITY Co., Ltd.",13670
"GLOBAL MEDICAL RESPONSE, INC.",23074
GLOBAL PORTS (FINANCE) PLC,7387
Global Prime Capital Pte. Ltd.,17931
Globe Times Investments Limited,10660
Globo Comunicacoes e Participacoes S.A.,4087
Glory River Holdings Limited,25225
"GLP Capital, L.P.",23750
Gluon Xima International Limited,10557
"GM Financial de Mxico, S.A. de C.V., SOFOM, E.",15582
GMP Capital Inc.,4930
GMR AERO TECHNIC LIMITED,11806
GMR AEROSPACE ENGINEERING LIMITED,11814
GMR AIRPORTS LIMITED,11655
GMR Bajoli Holi Hydropower Private Limited,11912
GMR Corporate Affairs Private Limited,12010
GMR Energy Limited,11551
GMR Highways Limited,11627
GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,11674
GMR INFRA DEVELOPERS LIMITED,11858
GMR INFRA SERVICES LIMITED,11855
GMR LOGISTICS PARK PRIVATE LIMITED,12022
GMR Pochanpalli Expressways Private Limited,11584
GMR Rajahmundry Energy Limited,11588
GMR WARORA ENERGY LIMITED,11573
GMT BOND ISSUER LIMITED,16702
"GNB - Companhia de Seguros de Vida, S.A.",17067
"GO DADDY OPERATING COMPANY, LLC",23592
GODREJ LANDMARK REDEVELOPERS PRIVATE LIMITED,11908
Godrej Redevelopers (Mumbai) Private Limited,11892
Gogo Intermediate Holdings LLC,24331
GOHL CAPITAL LIMITED,11198
Goias Transmissao S.A.,4545
Gol Finance S.A.,15303
"Gol Finance, Inc.",4143
Gold Fields Orogen Holding (BVI) Limited,25229
"Gold Merger Sub, LLC",24325
Golden Assets International Finance Limited,25264
GOLDEN ASSETS INTERNATIONAL INVESTMENT PTE.LTD,17919
