Target Name,Target No.
Raiffeisen Bausparkasse Gesellschaft m.b.H.,2857
Raiffeisen Centrobank AG,2848
Raiffeisen Schweiz Genossenschaft,5565
"Raiffeisen Schweiz Genossenschaft, Niederlassu",5663
Raiffeisen Switzerland B.V.,16451
Raiffeisen Versicherung AG,2872
Raiffeisen Wohnbaubank Aktiengesellschaft,2859
Raiffeisenbank (Bulgaria) Joint Stock Company,3818
Raiffeisenbank Austria d.d.,10668
RAIFFEISENLANDESBANK NIEDEROESTERREICH-WIEN AG,2863
RAIN CII CARBON LLC,22057
Rainbow Hospital Partnership,5311
Raizen Energia S.A.,4288
Raizen Energy Finance Limited,14792
RAK CAPITAL,14817
RAKFUNDING CAYMAN LTD,14947
"Rakuten Card Co., Ltd.",13618
RAMIUS SPECIAL ALTERNATIVE PROGRAM SICAV,15310
RAMPER INVESTMENTS (JERSEY) LIMITED,12458
Rand Merchant Bank Ltd,25571
Rank Group Finance PLC,8990
RANTAU ABANG CAPITAL BERHAD,15847
Ras Laffan Liquefied Natural Gas Co. Ltd (3),17106
Ratchaburi Electricity Generating Company Limi,18124
Ratchaburi Electricity Generating Holding Publ,18037
"RAYCOM REAL ESTATE CO., LTD.",6994
"RAYMOND JAMES BANK, NATIONAL ASSOCIATION",22854
RAYONIER A.M. PRODUCTS INC.,23910
Rayonier TRS Holdings Inc.,22416
RB CAPITAL S.A.,4522
RB MEDIA HOLDINGS PRIVATE LIMITED,11741
RB MEDIASOFT PRIVATE LIMITED,11740
RBC Capital Trust II,5070
RBC Subordinated Notes Trust,5105
RBC USA HOLDCO CORPORATION,22221
RBS (Deutschland) AG,7647
RBS Capital Trust A,21717
RBS Capital Trust B,21798
RBS Capital Trust C,22067
RBS Capital Trust D,22247
RBS Capital Trust I,22557
RBS Capital Trust II,21859
RBS Capital Trust III,21942
RBS Capital Trust IV,21943
RBS Citizens National Association,22149
RBS Financial Services (India) Private Limited,11497
"RBS Global, Inc.",21974
RBS Holdings N.V.,16083
RBS Holdings USA Inc.,22004
RBS Trust 2005-1,3356
RBTT Finance Limited,25242
RCCPL PRIVATE LIMITED,11580
RCG Corp Ltd,3179
RCI Banque,8385
RCI COLOMBIA S.A. COMPANIA DE FINANCIAMIENTO,7350
RCI Finance Maroc S.A.,15453
"RCI Financial Services Korea Co., LTD",14363
RCI LEASING POLSKA SPOLKA Z OGRANICZONA ODPOWI,17004
RCI Servicios Colombia S.A.,7349
"RCN TELECOM SERVICES, LLC",23613
RCS & RDS SA,17118
RCS Investment Holdings (Proprietary) Ltd,25598
RCS Trust,17964
RE1 Limited,3532
"READYCAP HOLDINGS, LLC",24520
Real Estate Credit Investments PCC Limited,9988
"REALIZE CREDITO, FINANCIAMENTO E INVESTIMENTO",4426
Realkredit Danmark A/S,7890
Realogy Group LLC,22549
Rearden G Holdings Eins GmbH,7692
REASSURE GROUP LIMITED,9869
REASSURE GROUP PLC,9926
Reckitt Benckiser Treasury Services (Nederland,16473
Reckitt Benckiser Treasury Services plc,9362
"Reckson Operating Partnership, L.P.",21501
Red de Energia del Peru S.A.,16818
Red Electrica De Espana,7969
Red Electrica de Espana Finance B.V.,16222
"Red Electrica Financiaciones, S.A.U.",8098
Rede D'Or Finance SARL,15375
Redknee Solutions Inc,4701
Redstone PLC,1650
REED ELSEVIER (INVESTMENTS) PLC,9295
