Target Name,Target No.
Ladbrokes Group Finance plc,9066
Lagoa 1 Energia Renovavel S.A.,4422
LAJEADO ENERGIA S/A,4323
LAKADIA-VADODARA TRANSMISSION PROJECT LIMITED,11946
Lake City Bank,22643
Lake Forest Bank and Trust Company,22079
LANARK MASTER ISSUER PLC,10970
Land Securities Capital Markets PLC.,9235
Landeskreditbank Baden-Wuerttemberg -Foerderba,7637
Landshypotek Bank Aktiebolag,17523
Lansforsakringar Hypotek AB,17549
LANXESS Accounting GmbH,7781
LANXESS Elastomeros do Brasil S.A.,3957
LaSalle Bank N.A.,21453
LaSalle Funding LLC,21739
LASER COFINOGA S.A.,8409
LATAM FINANCE LIMITED,14996
Latur Renewable Private Limited,12005
LAVASA CORPORATION LIMITED,11557
LAW DEBENTURE CORPORATION PLC(THE),8800
LAW DEBENTURE FINANCE P.L.C.,9072
