Target Name,Target No.
Rabo Securities NV,16156
Rabo Vastgoedgroep Holding N.V.,16172
RABOINVESTMENTS CHILE S.A.,5768
Radiant Access Limited,25374
RADIMAX GROUP SDN. BHD.,15864
Raiffeisen Schweiz Genossenschaft,5565
"Raiffeisen Schweiz Genossenschaft, Niederlassu",5663
Raiffeisen Switzerland B.V.,16451
Raiffeisen Versicherung AG,2872
Raiffeisen Wohnbaubank Aktiengesellschaft,2859
RAIFFEISENLANDESBANK NIEDEROESTERREICH-WIEN AG,2863
RAIN CII CARBON LLC,22057
Rainbow Hospital Partnership,5311
RAKFUNDING CAYMAN LTD,14947
RAMIUS SPECIAL ALTERNATIVE PROGRAM SICAV,15310
RAMPER INVESTMENTS (JERSEY) LIMITED,12458
Rand Merchant Bank Ltd,25571
RANTAU ABANG CAPITAL BERHAD,15847
Ras Laffan Liquefied Natural Gas Co. Ltd (3),17106
"RAYCOM REAL ESTATE CO., LTD.",6994
RB CAPITAL S.A.,4522
RB MEDIA HOLDINGS PRIVATE LIMITED,11741
RB MEDIASOFT PRIVATE LIMITED,11740
RCCPL PRIVATE LIMITED,11580
RCI COLOMBIA S.A. COMPANIA DE FINANCIAMIENTO,7350
RCI Servicios Colombia S.A.,7349
"RCN TELECOM SERVICES, LLC",23613
RCS & RDS SA,17118
RCS Trust,17964
RE1 Limited,3532
"READYCAP HOLDINGS, LLC",24520
Real Estate Credit Investments PCC Limited,9988
"REALIZE CREDITO, FINANCIAMENTO E INVESTIMENTO",4426
Realkredit Danmark A/S,7890
Rearden G Holdings Eins GmbH,7692
REASSURE GROUP LIMITED,9869
REASSURE GROUP PLC,9926
"Reckson Operating Partnership, L.P.",21501
Red de Energia del Peru S.A.,16818
Rede D'Or Finance SARL,15375
REFINITIV US HOLDINGS INC.,24710
REGENT STREET FINANCE LIMITED,12434
REGIE AUTONOME DES TRANSPORTS PARISIENS EPIC,8509
"REGIONALCARE HOSPITAL PARTNERS HOLDINGS, INC.",24317
REGUS EVERSUN BUSINESS CENTRE PRIVATE LIMITED,11766
RELIANCE AMBIT TRADE PRIVATE LIMITED,11883
RELIANCE AROMATICS AND PETROCHEMICALS LIMITED,11890
RELIANCE BRANDS LIMITED,11901
RELIANCE COMMERCIAL DEALERS LIMITED,12011
Reliance Comtrade Private Limited,11909
RELIANCE CONTENT DISTRIBUTION LIMITED,11921
Reliance Corporate IT Park Limited,11887
RELIANCE EMINENT TRADING & COMMERCIAL PRIVATE,11910
RELIANCE FINANCIAL CORPORATION,22253
Reliance Gas Pipelines Limited,11684
Reliance Jio Infratel Private Limited,11919
Reliance Lifestyle Holdings Limited,11899
RELIANCE PAYMENT SOLUTIONS LIMITED,11878
Reliance Projects & Property Management Servic,12031
Reliance Prolific Commercial Private Limited,11897
RELIANCE RETAIL LIMITED,11679
RELIANCE SERVICES AND HOLDINGS LIMITED,11929
RELIANCE SMSL LIMITED,11891
RELIANCE STANDARD LIFE GLOBAL FUNDING II,23887
Reliance Strategic Business Ventures Ltd,12033
Reliance Universal Traders Private Limited,11911
Reliance Vantage Retail Limited,11880
RELIANCE WORLD TRADE PVT LTD,11898
Reliant Energy Inc,218
RELX Finance B.V.,16387
Remgro Jersey GBP Limited,12482
REN Finance B.V.,16349
RENA GmbH,7700
RENAULT DO BRASIL S.A.,4399
RENEW AKSHAY URJA LIMITED,11744
Renoir CDO B.V.,16231
Renova Eolica Participacoes S.A.,4360
RenRe North America Holdings Inc.,22845
Renting Colombia S.A.,7319
Repsol Europe Finance SARL,15347
REPSOL OIL & GAS CANADA INC.,5443
"Res-Care, Inc.",20488
RESIDENTIAL SECURE INCOME PLC,9834
RESIDEO FUNDING INC.,24746
"RESIDOMO, s.r.o.",7412
RESILIENCE RE LTD.,3924
"Resona Bank, Limited.",13500
Resona Preferred Global Securities (Cayman) Li,14768
RESORTS WORLD LAS VEGAS LLC,24822
RESOURCE CAPITAL TRUST II,20923
RESPARCS FUNDING II LIMITED PARTNERSHIP,12402
RESPARCS Funding Limited Partnership I,10371
Resurs Bank Aktiebolag,17631
"RETROPHIN, INC.",19693
REVLON ESCROW CORPORATION,22849
RF Alts Finance I Ltd,14735
R-FMZ Immobilienholding GmbH,2898
RGA Capital Trust I,21692
RGS (Aegco) Funding Corp,21170
RH INTERNATIONAL (SINGAPORE) CORPORATION PTE.,17918
Rhein-Main Securitisation Limited,12395
RHI AG,2174
RHI AG,2824
Rhiag - Inter Auto Parts Italia S.p.A.,12156
"RHODES INVESTMENT, SICAV, S.A.",7993
"Rialto Holdings, LLC",23761
RIBER - KWS SEMENTES LTDA,4519
RIG CAPITAL TRUST I,21891
Rinker Materials Corporation,21307
Rio Casca Energetica S.A.,4544
RISLAND (THAILAND) COMPANY LIMITED,18171
Riveria Commercial Developers Limited,12038
RN Financial Structures B.V.,16159
"ROAD INFRASTRUCTURE INVESTMENT HOLDINGS, INC.",23420
ROAD MANAGEMENT CONSOLIDATED PLC,8995
Roche Finance Europe BV,16214
Roche Kapitalmarkt AG,5579
ROCHELLE BUILDERS & CONSTRUCTIONS PRIVATE LIMI,11980
ROCKFORD BANK AND TRUST COMPANY,23163
ROCKIES EXPRESS PIPELINE LLC,22159
Rockville Bank,23370
"Rockville Financial, Inc.",20495
"Rockwood Specialties Group, Inc.",21822
RODONORTE - Concessionaria de Rodovias Integra,4111
Rodovia das Cataratas S/A Ecocataratas,4223
Rodovias Integradas do Oeste S.A.,4228
"ROLLER BEARING COMPANY OF AMERICA, INC.",21323
Rombo Compania Financiera S.A.,2791
Rongxingda Development (BVI) Limited,25418
ROSE-HS1 SGPS SOCIEDADE UNIPESSOAL LDA,17071
ROSEKSIMBANK AO,17259
ROSSEL'KHOZBANK AO,17245
ROSSIISKII BANK PODDERZHKI MALOGO I SREDNEGO P,17246
Rosy Unicorn Limited,10475
ROTHESAY LIFE PLC,9509
"Rouse Company, LLC.",21257
Rovi Corporation,20883
"ROYAL LONDON MUTUAL INSURANCE SOCIETY,LIMITED(",9241
Royal Schiphol Group N.V.,16170
ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,11765
RPM United Kingdom G.P.,9265
"RSC Equipment Rental, Inc.",22538
RSHB CAPITAL S.A.,15162
RTE EDF Transport S.A.,8471
Rubicon Project Inc,23830
"RUBY PIPELINE, L.L.C.",23022
RUDRA SOLARFARMS LIMITED,11863
RUKUN JUANG SDN. BHD.,15996
Rumo Luxembourg S.a r.l.,15358
Rural Bank Limited,3295
Rural Hipotecario II Fondo de Titulizacion Hip,8003
RURALPYME 1 FTPYME FONDO DE TITULIZACION DE AC,8034
RURALPYME 2 FTPYME Fondo de Titulizacion de Ac,8068
RUSAL BRATSK PAO,17273
RUSAL CAPITAL DESIGNATED ACTIVITY COMPANY,11068
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,5751
RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,5807
Ruta del Maipo Sociedad Concesionaria S.A.,5748
Ruta del Maule Sociedad Concesionaria S.A.,5750
Rutas de Lima S.A.C.,16838
Ruwais Power Company PJSC,2711
RWE Finance BV,16188
Ryder Truck Rental Canada Ltd,5188
RZB Finance (Jersey) II Limited,12405
RZB FINANCE (JERSEY) III LIMITED,12410
RZB Finance (Jersey) IV Limited,12426
S&B Minerals Finance S.C.A.,15269
"S. C. JOHNSON & SON, INC.",21486
S.E.A. Societa Europea Autocaravan S.p.A.,12324
"S.G.F.P. Mexico, S. de R.L. de C.V.",15649
S.P.C.M. SA,8472
"S.Y. Bancorp, Inc.",19286
SA GLOBAL SUKUK LIMITED,15050
SA Power Networks,3372
"Sabadell United Bank, N.A.",22195
"SABADELL URQUIJO COOPERACION, SICAV, S.A.",7997
"Sabal Trail Transmission, LLC",24644
SABANA SUKUK PTE. LTD.,17915
Saber Servicos Educacionais LTDA,4461
SABIC Capital I B.V.,16293
SABIC Capital II B.V.,16351
SABSA Holdings (Pty) Ltd,25582
Sadia Overseas Ltd,14796
SAFRA LEASING SA ARRENDAMENTO MERCANTIL,4096
Sagerpar,3776
SAGRES - SOCIEDADE DE TITULARIZACAO DE CREDITO,17056
SAHAM FINANCES S.A,15451
SAIC CAPITAL COMPANY LIMITED,7242
"Saic, Inc.",20515
SAIC-GMAC Automotive Finance Company Limited,6597
SAINSBURY'S BANK PLC,9737
SAKET HOLIDAYS RESORTS PRIVATE LIMITED,11971
Sakura Capital Funding (Cayman) Limited,14661
Sal. Oppenheim jr. & Cie. Kommanditgesellschaf,7617
SALIN STATUTORY TRUST I,21905
Sallie Mae Bank,22689
Salt Mobile SA,5602
SALTAIRE FINANCE PLC,9970
Salzburger Sparkasse Bank AG,2858
"SAM HAE COMMERCIAL CO., LTD.",14389
SAMM - Sociedade de Atividades em Multimidia L,4301
Sampo Pankki Oyj,8209
"Sampyo Resources Development Co., Ltd.",14509
SAMPYOCORPORATION,14222
Samyang Innochem Corporation,14497
"SANDRIDGE OFFSHORE, LLC",23413
Sanlam Capital Markets (Pty) Limited,25577
Sanlam Life Insurance Limited,25579
Sanpaolo Banco di Napoli SpA,12236
Santa Cruz Power Corporation Usinas Hidroeletr,4317
SANTA FE INTERNATIONAL CORPORATION,2597
Santa Ursula Energias Renovaveis S.A.,4371
Santa Vitoria do Palmar Holding S.A.,4338
Santander Brasil Arrendamento Mercantil SA,4168
"Santander Commercial Paper, S.A. Unipersonal",8083
SANTANDER CORREDORA DE SEGUROS LIMITADA,5756
"SANYA PHOENIX INTERNATIONAL AIRPORT CO.,LTD.",6425
SAP Ireland US-Financial Services Ltd,11011
Sappi Papier Holding GmbH,2864
Sappi Southern Africa (Proprietary) Limited,25586
SAPPI SOUTHERN AFRICA LIMITED,25643
Saraiva Educacao Ltda.,4463
SARENS BESTUUR N.V.,3796
SARENS FINANCE COMPANY NV,3797
Sasol Financing (Pty) Ltd.,25562
Sasol Financing International Plc,11195
Sasol Financing USA LLC,24730
SATO Oyj,8220
"SAX S.A. Crdito, Financiamento e Investimento",4462
SAXON WEALD,9939
SAXON WEALD CAPITAL PLC,9528
SB Securities S.A.,15251
SBA SENIOR FINANCE II LLC,23017
SBAB Bank AB (publ),17518
SBB Capital Corporation,15844
SBB i Norden AB,17676
SBB Treasury Oyj,8242
SBERBANK KIB AO,17219
SBERBANK UPRAVLENIYE AKTIVAMI AO,17280
SBF Comercio de Produtos Esportivos S.A.,4232
SBI DFHI LIMITED,12017
SBP DPR Finance Co,14856
SCA HOLDINGS LLC,24480
SCB Bank,22511
SCB Securities Company Limited,18121
Scenery Journey Limited,25410
SCF CAPITAL DESIGNATED ACTIVITY COMPANY,10997
"Schaumburg Bank & Trust Company, N.A.",23591
Schiphol Nederland B.V.,16207
Schoeller Allibert Group B.V,16421
Schoeller Packaging B.V.,16465
Schoellerbank Aktiengesellschaft,2855
Scholz Holding GmbH,9740
Schweizerische Rueckversicherungs-Gesellschaft,5478
Schwyzer Kantonalbank,5568
SCIENTEX QUATARI SDN. BHD.,16012
SCOTIA GAS NETWORKS LIMITED,9410
"Scotia Inverlat Casa de Bolsa, S.A. de C.V.",15603
Scotia Sociedad Titulizadora SA,16816
Scotiabanc Inc,22280
Scotland Gas Networks plc,9263
SCOTTISH MUTUAL ASSURANCE LIMITED,9115
"SCOTTRADE FINANCIAL SERVICES, INC.",22485
SD International Sukuk II Limited,16022
Sd International Sukuk Limited,16019
SDG Finance I Limited,10604
SDG Finance Limited,10584
"SE Green Energy Co., Ltd.",14612
SEACOAST NATIONAL BANK,22667
Seagate HDD Cayman,14863
Sealink Travel Group Ltd,3556
Sealy Mattress Company,21339
"SEATTLE SPINCO, INC.",24526
SECID - Sociedade Educacional Cidade de Sao Pa,4385
"Secil - Companhia Geral de Cal e Cimento, S.A.",17048
"SECIL, BETOES E INERTES - SOCIEDADE GESTORA DE",17063
Secured Asset Finance Company B.V.,16322
Securitised Australian Mortgage Trust 2007-1,3418
Securitised Australian Mortgage Trust 2008-1,3442
Sedna Finance Corporation,14757
Segari Energy Ventures Sdn. Bhd.,15815
SEGI ASTANA SDN. BHD.,15922
SELECT ACCESS NEW ZEALAND LIMITED,16699
Select Comfort Corporation,20532
Seller Note LLC,24091
SEMBCORP ENERGY INDIA LIMITED,11762
Sembcorp Financial Services Pte Ltd.,17839
SEMBCORP GAYATRI POWER LIMITED,11615
Sempra Energy Employee Stock Ownership Plan &,21678
SEMPRA TEXAS HOLDINGS CORP.,23741
SEMPRA TEXAS INTERMEDIATE HOLDING COMPANY LLC,22933
SENAI AIRPORT TERMINAL SERVICES SDN. BHD.,15909
Senior European Loan UK S.A.,15272
Sentula Mining Limited,25491
"SEOJIN INDUSTRIAL CO.,LTD",14199
SEPCO Virgin Limited,25420
"SEPCOIII Electric Power Construction Co., Ltd.",6869
Serco DES Inc,5068
Serra do Serido F1 Holding S.A.,4554
Sertao I Solar Energia SPE S.A.,4467
SERVEONE,14216
"SERVEONE Co., Ltd.",14565
SERVICES SUPPORT (MANCHESTER) LIMITED,9397
"Servicios Financieros Navistar, S.A. de C.V.",15583
SES Global Americas Holding GP,21857
"SESI, LLC",22075
Setia Ecohill Sdn Bhd,15931
SETIA FONTAINES SDN. BHD.,16002
SEVERALMAZ OAO,17134
Severomoravske vodovody a kanalizace Ostrava A,7404
SF Holding Investment 2021 Limited,7276
Sf Holding Investment Limited,7101
SFIL SA,8565
SFJ CAPITAL LIMITED,14887
SFO VTB INVESTITSIONNYE PRODUKTY OOO,17295
SG Australia Limited,3303
SG Capital Trust III,21838
SG Frankfurt Mainzer Landstrasse GmbH,7833
SG Hamburg Holsten Quartiere 14 UG (haftungsbe,7834
SG Muenchen Schwabing Investitionsgesellschaft,7779
SG Option Europe,8420
SG Preferred Capital II,22174
SGA Societe Generale Acceptance N.V.,7364
SGALD AUTOMOTIVE - SOCIEDADE GERAL DE COMERCIO,17068
SGMS ESCROW CORP.,24049
SGS Nederland Holding B.V.,16490
SGSP (AUSTRALIA) ASSETS PTY LTD,3431
SGTP Highway Bypass Limited Partnership,5338
SGX TREASURY I PTE. LTD.,17989
Shaanxi Bicon Pharmaceutical Group Holding Co,6942
"Shaanxi Heavy-Duty Automobile Co., Ltd.",6437
SHAFTESBURY CARNABY PLC,9373
SHAFTESBURY CHINATOWN PLC,9839
"SHANDONG GOLD GROUP CO., LTD.",6380
"Shandong Hongqiao New Material Co., Ltd.",6755
"Shandong Information Industry Service Co., Ltd",7219
"Shandong Lingong Construction Machinery Co.,Lt",6717
Shandong Shanshui Cement Group Ltd.,6595
"Shandong Weiqiao Aluminum and Power Co., Ltd.",6779
"SHANGHAI CIVIL ENGINEERING CO.,LTD OF CREC",7264
Shanghai Commercial & Savings Bank Ltd (Hong K,10661
"Shanghai Fosun High Technology (Group) Co., Lt",6371
Shanghai Haitong Securities Asset Management C,6937
"Shanghai Port Group (BVI) Development 2 Co., L",10638
"Shanghai Port Group (BVI) Development Co.,Limi",25419
"SHANGHAI PORT GROUP (BVI) HOLDING CO., LIMITED",25382
Shanghai Powerlong Industrial Development (Gro,6964
Shanghai Securities Company Limited,6391
"Shanghai Shimao Construction Co., Ltd",6925
"Shanghai Star Group Co.,Ltd.",6793
Shanks Group PLC,1716
SHANXI SECURITIES INTERNATIONAL FINANCIAL HOLD,10607
SHAREKHAN BNP PARIBAS FINANCIAL SERVICESLIMITE,11917
SHAREKHAN LIMITED,12019
SHC Management Co Ltd,14287
"SHEA HOMES LIMITED PARTNERSHIP, A CALIFORNIA L",23198
Sheba Properties Ltd.,11769
SHENZHEN CIMC INDUSTRY & CITY DEVELOPMENT GROU,7208
Shenzhen Longguang Holdings Limited,6918
"Shenzhen Shunfeng Taisen Holding (Group) Co.,",7062
Sherson Limited,25218
SHIMA REINSURANCE LTD.,3923
"Shinhan Life Insurance Co., Ltd.",14336
Shisa Investments (Pty) Limited,25590
SHOP DIRECT FUNDING PLC,9849
SHOP DIRECT LIMITED,9660
SHOPSENSE RETAIL TECHNOLOGIES PRIVATE LIMITED,12012
SHORTLINE PLC,9578
"Showa Leasing Co.,Ltd.",13514
