ISSUER_NAME,No. 
ASCENDAS PTE LTD,17832
DBS Capital Funding II Corporation,17833
CapitaCommercial Trust Management Limited,17835
NATIXIS,17836
Citydev Nahdah Pte. Ltd.,17838
Sembcorp Financial Services Pte Ltd.,17839
FCT MTN Pte Ltd,17840
TML HOLDINGS PTE. LTD.,17841
GLL IHT PTE. LTD.,17842
ST Engineering Financial I Ltd,17843
HSBC Institutional Trust Services (Singapore),17844
China Construction Bank Corporation,17846
SingTel Group Treasury Pte. Ltd.,17847
CIMB Bank Berhad,17848
Den norske Bank ASA,17849
Australia and New Zealand Banking Group Limite,17850
"Mizuho Bank, Ltd.",17851
The Bank of East Asia Limited,17852
SKANDINAVISKA ENSKILDA BANKEN AB (PUBL),17853
"Bank of Communications Co., Ltd.",17854
MITSUBISHI UFJ TRUST AND BANKING CORPORATION,17855
Bank of China Limited,17856
J.P. Morgan plc,17857
Ascott Reit MTN Pte. Ltd.,17858
Bumi Capital Pte. Ltd,17859
PARKWAY LIFE MTN PTE. LTD.,17862
Berau Capital Resources PTE Ltd,17865
CAPITAMALLS ASIA TREASURY LIMITED,17866
Bumi Investment Pte. Ltd.,17867
"CTBC BANK CO., LTD",17870
The Great Eastern Life Assurance Company Ltd,17872
HENDERSON LAND MTN (S) PTE. LIMITED,17876
MACQUARIE BANK LIMITED SINGAPORE BRANCH,17877
ASCENDAS PROPERTY FUND TRUSTEE PTE. LTD.,17878
WHARF MTN (SINGAPORE) PTE. LTD.,17879
MAPLETREE INDUSTRIAL TRUST TREASURY COMPANY PT,17880
ESR-MTN PTE. LTD.,17881
PARKWAY PANTAI LIMITED,17882
FCL Treasury Pte. Ltd.,17883
THETA CAPITAL PTE. LTD.,17884
