Target Name,Target No.
Banco Santander de Negocios Colombia S.A,7343
"Banco Santander de Negocios Portugal, S.A.",17045
Banco Santander International,21456
Banco Santander Puerto Rico,17012
BANCO SECURITY S.A.,5755
Banco Societe Generale Brasil S.A.,4169
Banco Tokyo-Mitsubishi UFJ Brasil S/A,4292
BANCO TOYOTA DO BRASIL S/A,4173
BANCO VOLVO (BRASIL) S.A,4532
Banco Votorantim S.A.,4572
Banco Votorantim S.A.,4092
BANCO YAMAHA MOTOR DO BRASIL S.A.,4421
Banesto Banco de Emisiones S.A.,8016
"Banesto Financial Products, Plc.",10950
Banesto Issuances Ltd,14678
BANGALORE INTERNATIONAL AIRPORT LIMITED,11611
Bangkok Bank Public Company Limited,10321
Banglalink Digital Communications Limited,3719
Bank Al Sean Al Sinaey w Al Tejary Al Mahdood,2710
Bank Espirito Santo (International) Limited,14875
Bank J. Van Breda en Co N.V.,3772
BANK MUAMALAT MALAYSIA BERHAD,15838
Bank of Clark County,22127
BANK OF HOPE,22512
"Bank of Kunlun Co., Ltd.",6895
BANK OF NORTH CAROLINA,22122
BANK OF THE CASCADES,22639
BANK OF THE OZARKS,23006
"Bank of the Ozarks, Inc.",19759
Bank Rhode Island,22466
BANK SNB,22653
Bankers Hall LP,5275
Bankinter 1 Fondo de Titulizacion Hipotecaria,8011
"BANKINTER 3, Fondo de Titulizacion Hipotecaria",8043
Bankinter Emisiones S.A.,8027
Bankinter Finance Ltd,14708
Bankinter International Cayman Limited,14681
Bankinter Sociedad de Financiacion S.A.,8081
Banknorth Capital Trust I,21482
Bankoa S.A.,8009
BankPozitif Kredi ve Kalkinma Bankasi A.S.,18245
Banque Accord,8449
Banque Centrale de Compensation,8466
BANQUE CIC NORD OUEST S.A.,8588
Banque de Bretagne SA,8383
Banque europeenne d'investissement,15100
"Banque Federative du Credit Mutuel, Societe An",8403
Banque Marocaine du Commerce Exterieur S.A.,15436
Banque Palatine S.A.,8437
Banque PSA Finance S.A.,8440
Banque Solfea S.A.,8510
BANQUE TUNISO KOWETIENNE S.A.,18189
Banrisul S.A. Corretora de Valores Mobiliarios,4134
BAO-TRANS ENTERPRISES LIMITED,10511
Baoxin Auto Finance I Limited,25363
Barcas S.A. - Transportes Maritimos,4311
BARCODE 121 HOLDING AS,16602
BARMER POWER TRANSMISSION SERVICE LIMITED,11848
BARMINCO FINANCE PTY LIMITED,3433
Basell Finance Company BV,16119
BAT Capital Corp,8986
BAT International Finance PLC,9037
BAUSPARKASSE DER OSTERREICHISCHEN SPARKASSEN A,2860
Bausparkasse der Volksbanken und Raiffeisenban,7634
Bay Adelaide East LP,5410
Bay Street Funding Trust,5113
BAYERNLB CAPITAL TRUST I,22302
Bayu Padu Sdn Bhd,15841
BAZALGETTE FINANCE PLC,9786
BAZALGETTE HOLDINGS LIMITED,9804
BB & T Corp.,1038
BBCN Bank,22614
BB-LEASING SA ARRENDAMENTO MERCANTIL,4128
"BC CARD CO., LTD.",14266
BCBF Participacoes S.A.,4348
Bci Asset Management Administradora General de,5794
Beihai Silver City Urbanization Construction C,7017
"Beijing Automotive Group Co., Ltd.",6495
"Beijing Electric Vehicle Co., Ltd.",7169
Beijing Gas Singapore Capital Corporation,25375
"Beijing Jingdong Century Trading Co., Ltd.",6798
"Beijing Wangjing SOHO Real Estate Co., Ltd.",6965
BELFIUS BANQUE S.A.,3774
Belfius Financing Company S.A.,15290
Belfius Funding N.V.,16210
Belgacom Finance SA,3765
Belgelec Finance S.A.,15117
BELRON FINANCE LIMITED,9811
BELSTAR MICROFINANCE LIMITED,11803
Bematech S.A,3977
BENIH RESTU BERHAD,15977
Berau Capital Resources PTE Ltd,17865
BEREKET VARLIK KIRALAMA ANONIM SIRKETI,18279
BerjayaCity Sdn Bhd,15902
BES - Investimento do Brasil S.A.,14906
