Target Name,Target No.
ONGC MANGALORE PETROCHEMICALS LIMITED,11579
ONGC Videsh Limited,11552
ONGC VIDESH VANKORNEFT PTE. LTD.,17942
Ontario Power Generation Inc.,5108
"OOO ""Rusfinans Bank""",17229
OOO ''VTB-Lizing Finans'',17237
OOREDOO TAMWEEL LIMITED,14929
OP Osuuskunta,8210
OP-Asuntoluottopankki Oyj,8205
"Open Bank, S.A.",8061
"OPEN TEXT HOLDINGS, INC.",24949
OP-Henkivakuutus Oy,8207
Ophthotech Corp,23711
OPTIVO,9931
OPTIVO FINANCE PLC,9517
Optus Finance Pty Ltd,3279
OPUSALPHA FUNDING LIMITED,10942
ORANO S.A.,8632
ORAZUL ENERGY PERU S.A.,16839
ORBIT GROUP LIMITED,9722
ORBITA FUNDING 2017-1 PLC,9847
