Target Name,Target No.
Capital One Capital V,22852
CBA CAPITAL AUSTRALIA LIMITED,3351
CDL Properties Ltd,17791
CFR International SPA,5782
CFR PHARMACEUTICALS S.A.,5776
CI Investments Inc,5164
Citizens Bank,22145
CLAAS FINANCIAL SERVICES S.A.S.,8619
COOPER-STANDARD AUTOMOTIVE INC.,21439
CSN Resources S.A.,4231
D'ieteren,2446
Dime Community Bank,22259
DKT Holdings ApS,7920
Dolphin Energy Limited,2705
"Duke Energy Kentucky, Inc.",21176
E.ON International Finance B.V.,16198
EnBW International Finance B.V.,16185
Equitable Bank,5100
Essar Energy Investment Limited,12452
"Favorite Brands International, Inc.",21421
