Target Name,Target No.
RCS Trust,17964
RE1 Limited,3532
"READYCAP HOLDINGS, LLC",24520
Real Estate Credit Investments PCC Limited,9988
"REALIZE CREDITO, FINANCIAMENTO E INVESTIMENTO",4426
Realkredit Danmark A/S,7890
Rearden G Holdings Eins GmbH,7692
REASSURE GROUP LIMITED,9869
REASSURE GROUP PLC,9926
"Reckson Operating Partnership, L.P.",21501
Red de Energia del Peru S.A.,16818
Rede D'Or Finance SARL,15375
REFINITIV US HOLDINGS INC.,24710
REGENT STREET FINANCE LIMITED,12434
REGIE AUTONOME DES TRANSPORTS PARISIENS EPIC,8509
"REGIONALCARE HOSPITAL PARTNERS HOLDINGS, INC.",24317
REGUS EVERSUN BUSINESS CENTRE PRIVATE LIMITED,11766
RELIANCE AMBIT TRADE PRIVATE LIMITED,11883
RELIANCE AROMATICS AND PETROCHEMICALS LIMITED,11890
RELIANCE BRANDS LIMITED,11901
RELIANCE COMMERCIAL DEALERS LIMITED,12011
