ISSUER_NAME,No. 
Sinotrans Sailing Ltd,25311
GREENLAND GLOBAL INVESTMENT LIMITED,25312
Huarong Finance Co. Ltd.,25313
Skyland Mining (BVI) Limited,25314
Sino-Ocean Land Treasure Finance I Limited,25315
Huatai International Finance I Limited,25316
ADVANCE WISDOM INVESTMENTS LIMITED,25317
DIANJIAN HAIXING LIMITED,25318
XINGTAO ASSETS LIMITED,25319
"CITIC SECURITIES FINANCE MTN CO., LTD.",25320
Double Rosy Limited,25321
CHINA CINDA FINANCE (2014) II LIMITED,25322
STATE ELITE GLOBAL LIMITED,25323
"Huarong Finance II Co., Ltd.",25324
China Shenhua Overseas Capital Company Limited,25325
HAITONG INTERNATIONAL FINANCE 2015 LIMITED,25326
Sino-Ocean Land Treasure Finance II Limited,25327
HKT Capital No. 2 Limited,25328
PB Issuer (No.4) Limited,25329
CCCI Treasure Limited,25330
Haitong International Finance Holdings 2015 Li,25331
China Cinda Finance (2015) I Limited,25332
Talent Yield (Euro) Limited,25333
Beijing Enterprises Water Capital Investment L,25334
PCCW Capital No. 5 LIMITED,25335
COSMOS BOOM INVESTMENT LIMITED,25336
Start Plus Investments Ltd,25337
LS Finance (2025) Limited,25338
Fuqing Investment Management Limited,25339
YONGDA INVESTMENT LIMITED,25340
CITIC Pacific Finance (2005) Limited,25341
"Oceanwide Holdings International 2015 Co., Lim",25342
Double Charm Limited,25343
CSCI Finance (2015) Co. Ltd,25344
Haitong International Finance 2014 Limited,25345
APEX TOP GROUP LIMITED,25346
CALC Bond 1 Limited,25347
Top Luxury Investment Limited,25348
CICC Hong Kong Finance 2016 MTN LTD,25349
Midea Investment Development Company Limited,25350
