Target Name,Target No.
Home Trust Company,5103
"HOMER CITY GENERATION, L.P.",23517
HOMER FINANCE NO 3 PLC,9050
Hong Kong Red Star Macalline Universal Home Fu,10575
Ho-Ping Power Company,18467
Hopson Capital International Group Co Ltd,25421
Horse Gallop Finance Limited,25404
Horsepower Finance Limited,25305
HOSPITAL ESPERANCA SA,4339
HOSPITALIA EASTERN PRIVATE LIMITED,11804
"HOTEIS TIVOLI, S.A.",17066
Housing 21,9850
HOWES CAPITAL LIMITED,25248
HPCL-MITTAL ENERGY LIMITED,11558
HPCL-MITTAL PIPELINES LIMITED,11632
HPHT FINANCE (15) LIMITED,14960
HPHT FINANCE (17) LIMITED,15006
HPHT FINANCE (19) LIMITED,15037
HPHT FINANCE (21) LIMITED,10647
HRT Participacoes em Petroleo SA,4243
HRU S.A.,25187
