ISSUER_NAME,No. 
Westdeutsche ImmobilienBank AG,7639
HSH Nordbank AG,7640
J.P. Morgan AG,7642
NRW.BANK,7643
Eurohypo 2000-1,7644
"Goldman, Sachs & Co. Wertpapier GmbH",7646
RBS (Deutschland) AG,7647
Volkswagen Leasing GmbH,7648
IXIS Corporate & Investment Bank (Frankfurt Br,7649
Kabel Deutschland Vertrieb und Service GmbH,7651
EWE AG,7652
Kabel BW GmbH,7653
Cognis GmbH,7654
Wuestenrot Bausparkasse Aktiengesellschaft,7655
UBS Deutschland AG,7656
Kabel Deutschland Vertrieb und Service GmbH &,7657
DEPFA BANK CAPITAL FUNDING,7658
Caterpillar Financial Services GmbH & Co. KG,7659
BSH Bosch und Siemens Hausgeraete GmbH,7660
Deutsche Bank AG,7661
DB Privat- und Firmenkundenbank AG,7662
KME AG,7663
Honda Bank GmbH,7664
Toyota Leasing GmbH,7666
KfW,7668
Landwirtschaftliche Rentenbank,7669
Vontobel Financial Products GmbH,7670
Societe Generale Effekten GMBH,7671
Citigroup Global Markets Deutschland AG,7673
Clearstream Banking Aktiengesellschaft,7674
LBBW Dublin Management GmbH,7675
Merck Financial Services GmbH,7676
ZF Friedrichshafen AG,7678
China Construction Bank Corporation,7679
Bank of China Limited,7680
Industrial and Commercial Bank of China Limite,7682
Unitymedia KabelBW GmbH,7684
FMC Finance VI S.A.,7686
Erste Abwicklungsanstalt,7687
Rearden G Holdings Eins GmbH,7692
