Target Name,Target No.
Citibank International plc,17069
Citibank International plc,15126
Citibank Leasing SA Arrendamento Mercantil,4125
Citibank NA (New York Branch),24905
"Citibank, N.A.",9243
"Citibank, N.A.",21234
"CITIBANK, N.A.",3465
"Citibank, N.A.",21847
"Citibank, N.A.",5129
"Citibank, N.A.",10328
Citigroup Capital Korea Inc,14263
Citigroup Capital XVII,20809
Citigroup Capital XVIII,22368
Citigroup Finance Canada Inc.,5031
Citigroup Finance Canada ULC,5402
Citigroup Global Markets Brasil Corretora de C,4132
Citigroup Global Markets Deutschland AG,7673
Citigroup Global Markets Funding Luxembourg GP,15387
Citigroup Global Markets Funding Luxembourg SC,15257
Citigroup Global Markets Japan Inc.,13520
