Target Name,Target No.
RUSAL CAPITAL DESIGNATED ACTIVITY COMPANY,11068
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,5751
RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,5807
Ruta del Maipo Sociedad Concesionaria S.A.,5748
Ruta del Maule Sociedad Concesionaria S.A.,5750
Rutas de Lima S.A.C.,16838
Ruwais Power Company PJSC,2711
RWE Finance BV,16188
Ryder Truck Rental Canada Ltd,5188
RZB Finance (Jersey) II Limited,12405
RZB FINANCE (JERSEY) III LIMITED,12410
RZB Finance (Jersey) IV Limited,12426
S&B Minerals Finance S.C.A.,15269
"S. C. JOHNSON & SON, INC.",21486
S.E.A. Societa Europea Autocaravan S.p.A.,12324
"S.G.F.P. Mexico, S. de R.L. de C.V.",15649
S.P.C.M. SA,8472
"S.Y. Bancorp, Inc.",19286
SA GLOBAL SUKUK LIMITED,15050
SA Power Networks,3372
"Sabadell United Bank, N.A.",22195
