Target Name,Target No.
LR REALKREDIT A/S,7900
LRP Landesbank Rheinland-Pfalz (Luxembourg Bra,15152
LS Cable Ltd,14306
LS Finance (2017) Limited,25246
LS Finance (2022) Limited,25260
LS Finance (2025) Limited,25338
"LS MTRON CO., LTD.",14303
LS Power Funding Corporation,21437
LSD Bonds (2017) Limited,25387
LSEG Netherlands,16488
LSEGA FINANCING PLC,9960
LSF9 Balta Issuer S.A.,15325
LXI REIT,9814
LYB International Finance II B.V.,16401
"LYB INTERNATIONAL FINANCE III, LLC",24914
M.R.L POSNET PRIVATE LIMITED,11758
Ma'aden Phosphate Company,17379
Madrilena Red de Gas Finance B.V.,16350
Madrilena Red de Gas S.A.U.,8102
MAF SUKUK LTD.,14895
MAGACELA SOLAR 1 SA,8156
