Target Name,Target No.
PT Bank ICBC Indonesia,10836
PT Bank KEB Hana Indonesia,10870
PT Bank Mandiri Taspen Pos,10879
PT Bank Mizuho Indonesia,10816
PT Bank Muamalat Indonesia Tbk,10803
PT Bank Sumitomo Mitsui Indonesia,10834
PT Bank Syariah Mandiri,10805
PT Bank UOB Indonesia,10812
PT Bank UOB Indonesia,10758
PT BCA Finance,10804
PT BII Finance Centre,10806
PT Blessindo Terang Jaya,10881
PT BRI Multifinance Indonesia,10828
PT Bukit Makmur Mandiri Utama,10824
PT Bussan Auto Finance,10815
PT Cahaya Kalbar Tbk,10727
PT Century Tokyo Leasing Indonesia,10880
PT CIMB Niaga Auto Finance,10859
PT Ciputra Residence,10868
PT Delta Djakarta Tbk,10764
PT Federal International Finance,10798
PT Finnet Indonesia,10840
PT Hyundai Motor Manufacturing Indonesia,10894
PT Indonesia Asahan Aluminium (Persero),10889
PT JACCS MITRA PINASTHIKA MUSTIKA FINANCE INDO,10835
PT Jasamarga Pandaan Tol,10858
PT Mahkota Sentosa Utama,10890
PT Mandiri Tunas Finance,10809
PT Marga Lingkar Jakarta,10885
PT Medco Power Indonesia,10866
PT Merck Tbk.,10782
PT Mitsubishi UFJ Lease & Finance Indonesia,10874
PT Mizuho Balimor Finance,10883
PT MNC Guna Usaha Indonesia,10884
PT MNC Pictures,10887
PT Multimedia Nusantara,10841
PT Oto Multiartha,10799
PT Pelabuhan Indonesia II (Persero),10819
PT Pelabuhan Indonesia III (Persero),10833
PT Pertamina (Persero),10823
PT Power Block Indonesia,10892
PT Profesional Telekomunikasi Indonesia,10865
PT Saka Energi Indonesia,10875
PT Serasi Autoraya Tbk,10802
PT Sigma Cipta Caraka,10842
PT Sumberdaya Sewatama,10860
PT Surya Artha Nusantara Finance,10837
PT Toyota Astra Financial Services,10848
PT Varia Usaha Beton,10873
PT Waskita Fim Perkasa Realti,10895
PT Waskita Karya Realty,10888
PT Waskita Toll Road,10876
PT Wijaya Karya Realty,10867
PTT TREASURY CENTER COMPANY LIMITED,18174
PTTEP Australia International Finance Pty Limi,3494
PTTEP Canada International Finance Limited,5208
PTTEP Treasury Center Company Limited,18164
Public Bank (Hong Kong) Limited,10330
PUBLIC HOLDINGS SDN. BERHAD,16013
Public Joint Stock Company Universal Bank,18527
Public Joint-Stock Company Astra Bank,18535
"Public joint-stock company commercial bank ""PR",18529
Public Service Company of New Hampshire,21113
"Public Service Company of North Carolina, Inco",21272
"Publichne aktsionerne tovarystvo ""CREDI AGRIKO",18536
"Publichne aktsionerne tovarystvo ""Dochirnii ba",18526
"Publichne aktsionerne tovarystvo ""INH Bank Ukr",18531
Publishing and Broadcasting (Finance) Limited,3278
PUGALUR RENEWABLE PRIVATE LIMITED,11884
"Pulmuone Food & Culture Co.,Ltd",14623
"Pulmuone Foods Co., Ltd.",14310
PUMA ENERGY HOLDINGS PTE. LTD.,17914
PUMA Global Trust No. 5,3398
Puma International Financing S.A.,15278
PUMA Masterfund H-1,3420
PUMA MASTERFUND P-13,3432
PUMA Masterfund P-14,3489
PUMA Masterfund S-4,3404
PUMA Masterfund S-6,3452
PUMA Masterfund S-8,3488
PUNCAK WANGI SDN. BHD.,15959
PURE GYM LIMITED,9784
PUTRAJAYA BINA SDN. BHD.,16000
