ISSUER_NAME,No. 
"Hengan (China) Investment Co., Ltd.",7010
"ABC Financial Leasing Co., Ltd.",7012
CCCC FIRST HARBOR ENGINEERING COMPANY LTD.,7015
Beihai Silver City Urbanization Construction C,7017
"Sinohydro Bureau 5 Co., Ltd.",7020
Nanyang Commercial Bank (China) Limited,7022
POWERCHINA HUADONG ENGINEERING CORPORATION LIM,7023
"Haitong Futures Co., Ltd.",7024
"Huatai Futures Co., Ltd.",7026
Zhenro Properties Holdings Company Limited,7028
United Overseas Bank (China) Limited,7034
United Photovoltaics (Changzhou) Investment Gr,7036
Tengzhou Real Estate Comprehensive Development,7037
"Guangzhou Automobile Group Business Co., Ltd.",7038
"Shandong Chenming Finance Leasing Co., Ltd.",7043
Australia and New Zealand Bank (China) Company,7044
"Weiyuan State-owned Assets Operation Co., Ltd",7045
PowerChina Zhongnan Engineering Corporation Li,7046
"KUNLUN FINANCIAL LEASING CO.,LTD",7047
Wuxi Biologics Cayman Inc,7050
Nine Dragons Worldwide (China) Investment Grou,7051
BEST INC.,7056
"SPDB Financial Leasing Co., Ltd.",7060
"Shenzhen Shunfeng Taisen Holding (Group) Co.,",7062
PICC Health Insurance Company Limited,7063
INDUSTRIAL BANK OF KOREA (CHINA) LIMITED,7064
Minmetals Capital Holdings Limited,7067
"Huarong Huitong Asset Management Co., Ltd.",7068
"Ant Group Co., Ltd.",7071
Guangyuan City Construction Investment Group C,7072
HARVEST INTERNATIONAL COMPANY,7073
"Guotai Junan Securities Asset Management Co.,",7076
"CCCC Fourth Highway Engineering Co., Ltd.",7077
Dianjian International Finance Limited,7080
"ABC Life Insurance Co., Ltd.",7084
Woori Bank China Limited,7085
Tongfang Aqua 2017 Limited,7087
Huarong Jinshang Asset Management Co Ltd,7098
INDUSTRIAL BANK CO LTD SHANGHAI PILOT FREE TRA,7100
Sf Holding Investment Limited,7101
