Target Name,Target No.
LEGRAND FRANCE S.A.,8493
Leicester Securities 2014 Limited,11048
Leighton Finance (USA) Pty Ltd,3531
Leighton Finance Ltd,3460
Leisureworld Senior Care Corporation,5172
Leisureworld Senior Care LP,5097
LEMS I LLC,24886
LEND LEASE (US) CAPITAL INC.,22211
Lend Lease Europe Finance plc,9298
Lend Lease Finance Limited,3277
Lend Lease Funds Management Limited,3294
LENOVO PERPETUAL SECURITIES LIMITED,14999
Leonard Wood Family Communities LLC,23169
Lernout & Hauspie Speech Products N.V.,22583
LET'S RENT A CAR S/A,4337
Leucadia National Corp.,1447
Leumi Finance Company Limited,11162
"LEVEL 3 ESCROW II, INC.",23973
"Level 3 Financing, Inc.",21819
"LEVEL 3 PARENT, LLC",24586
Leviathan Bond LTD,11187
"LG CNS Co., Ltd.",14270
LG N-Sys,14394
LG Siltron Inc.,14229
LG&E and KU Energy LLC,23106
LGE HoldCo VI B.V.,16361
LGT Bank AG,15074
LHR AIRPORTS LIMITED,9003
"Lianfa Group Co., Ltd.",6921
"Liaoning Zhongwang Group Co., Ltd.",6415
Libbey Glass Inc.,22136
Liberty Global Europe N.V.,16174
Liberty Interactive LLC,21498
LIBERTY LIVING FINANCE PLC,9856
LIBERTY MUTUAL GROUP INC.,21877
Liberty Utilities (Canada) Corp.,5231
"Liberty Utilities (Canada) LP,",5447
LIBERTY UTILITIES CO.,23405
LIBERTY UTILITIES FINANCE GP1,24025
Libertyville Bank & Trust Company,22687
LIBRA (LONGHURST GROUP) TREASURY NO 2 PLC,9878
LIBRA (LONGHURST GROUP) TREASURY PLC,9536
LIDER-INVEST AO,17285
LIEVRE POWER FINANCING CORPORATION,5199
Lifco AB (publ),17618
Lifemiles LTD,3929
Light Energia S.A.,4255
Light Servicos de Eletricidade S.A.,4328
Lightship Tankers IV LLC,23799
Lightspeed POS Inc,5434
"LIICA HOLDINGS, LLC",22648
Lima Airport Partners S.R.L.,16820
Limited Liability Partnership Zhaikmunai,15065
Linc USA GP,23482
Linde Finance B.V.,16179
Linde Intermediate Holding AG,7824
Linea SpA,12263
LINGKARAN TRANS KOTA SDN. BHD.,15874
Linhares Geracao S.A.,4226
Linhas de Transmissao de Montes Claros S.A.,4258
Link 2019 CB Limited,10614
LINKLEASE FINANCE PLC,9903
Linter Textiles Corporation Limited,3255
Lintran do Brasil Participacoes S.A.,4287
Lion Biotechnologies Inc,22504
LION CONNECTICUT HOLDINGS INC.,21322
Lion Series 2007-1 Trust,3410
"Lionbridge Financing Leasing (China) Co., Ltd.",6966
LIONS GATE CAPITAL HOLDINGS LLC,24628
LIQUID TELECOMMUNICATIONS FINANCING PLC,15513
Liquor Stores N.A. Ltd.,4941
Listrindo Capital B.V.,16286
Litalico Inc,13740
LIVE OAK BANKING COMPANY,22686
Liverpool Victoria Friendly Society Limited,9309
LIVEWEST CAPITAL PLC,9614
LIVEWEST HOMES LIMITED,9880
LIVEWEST TREASURY PLC,9927
LIXIL Group Finance Corporation,13552
LIXXBAIL S.A.,8438
Liz Claiborne Inc,154
Lizebeth Builders & Developers Private Limited,11988
LKQ European Holdings B.V.,16450
