ISSUER_NAME,No. 
Talent Yield Investments Limited,25252
CNOOC Finance (2012) Limited,25253
K. Wah International Financial Services Limite,25254
China Merchants Finance Company Limited,25255
FPT Finance Limited,25256
FPC Finance Limited,25257
COSL Finance (BVI) Limited,25258
Sun Hung Kai & Co. (BVI) Limited,25259
LS Finance (2022) Limited,25260
RH International Finance Limited,25261
Franshion Investment Limited,25262
China Taiping Capital Limited,25263
Golden Assets International Finance Limited,25264
COSCO Finance (2011) Limited,25265
FPMH Finance Limited,25266
ESTATE SKY LIMITED,25267
Cheung Kong Bond Securities (03) Limited,25268
Caifu Holdings Limited,25269
Sparkle Assets Limited,25270
COSCO Pacific Finance (2013) Company Limited,25271
"Sinochem CP Co., Ltd.",25272
CITIC Telecom International Finance Limited,25273
JOYOUS GLORY GROUP LIMITED,25274
Melco Finance Limited,25275
PCCW-HKT Capital No. 5 Limited,25276
Bestgain Real Estate Limited,25277
Studio City Company Limited,25278
TSMC Global Ltd.,25279
SmarTone Finance Limited,25280
YUEXIU REIT MTN COMPANY LIMITED,25281
Yingde Gases Investment Limited,25282
FPC Treasury Limited,25283
Sinopec Capital (2013) Limited,25284
Minmetals Land Capital Limited,25285
AGEAS CAPITAL (ASIA) LIMITED,25286
"CITIC Securities Finance 2013 Co., Ltd",25287
Beijing Enterprises Water Capital Management L,25288
Want Want China Finance Limited,25289
CNOOC Finance (2013) Limited,25290
Cheung Kong Bond Securities (02) Limited,25291
BESTGAIN REAL ESTATE LYRA LIMITED,25292
Poly Real Estate Finance Ltd,25293
Franshion Brilliant Limited,25294
NWD (MTN) Limited,25295
Haitong International Finance Holdings Limited,25296
WANDA PROPERTIES OVERSEAS LIMITED,25297
