ISSUER_NAME,No. 
YUNNAN ENERGY INVESTMENT OVERSEAS FINANCE COMP,25392
"Tahoe Group Global (Co.,) Limited",25393
ORIENT HUIZHI LIMITED,25394
"TIANQI FINCO CO., LTD",25395
HUARONG UNIVERSE INVESTMENT HOLDING LIMITED,25396
Leader Goal International Limited,25397
BOSC International (BVI) Limited,25398
Lai Fung Bonds (2018) Limited,25399
WHARF REIC FINANCE (BVI) LIMITED,25400
Smart Insight International Limited,25401
EASE TRADE GLOBAL LIMITED,25402
Huatai International Financial Products Limite,25403
Horse Gallop Finance Limited,25404
Legend Fortune Limited,25405
Vigorous Champion International Limited,25406
Expand Lead Limited,25407
"Hejun Shunze Investment Co., Limited",25408
Oceanwide Holdings International Development I,25409
Scenery Journey Limited,25410
Mei Nian Investment Limited,25411
Everbright SHK (BVI) Limited,25412
Twinkle Lights Holdings Limited,25413
Champion Sincerity Holdings Limited,25414
CMOC Capital Limited,25415
Wanda Properties Global Co. Limited,25416
INTELLECT AIM MANAGEMENT LTD.,25417
Rongxingda Development (BVI) Limited,25418
"Shanghai Port Group (BVI) Development Co.,Limi",25419
SEPCO Virgin Limited,25420
Hopson Capital International Group Co Ltd,25421
China Cinda (2020) I Management Limited,25422
Weimob Investment Limited,25423
CSCIF ASIA LIMITED,25424
ADM AG Holding Limited,25425
Contemporary Ruiding Development Limited,25426
Future Diamond Limited,25427
ZhenAn Glory Investment Limited,25428
BOCOM INTERNATIONAL BLOSSOM LIMITED,25429
CMS International Gemstone Limited,25430
CNCBINV 1 (BVI) LIMITED,25431
