ISSUER_NAME,No. 
COMPUTERSHARE US INC.,23554
"HALCON RESOURCES OPERATING, INC.",23556
"NBCUniversal Enterprise, Inc",23560
Five Oaks Investment Corp.,23563
"HEALTHCARE TRUST OF AMERICA HOLDINGS, LP",23564
Marin Software Inc,23565
Tetraphase Pharmaceuticals Inc,23567
CARLYLE HOLDINGS II FINANCE L.L.C.,23569
"RHP HOTEL PROPERTIES, LP",23572
GOLDMAN SACHS CAPITAL III.,23574
IAS Operating Partnership LP,23575
CYRUSONE FINANCE CORP.,23576
FIRSTAR REALTY L.L.C.,23580
NORTH NEW HYDE PARK BRANCH,23584
PennyMac Corp.,23590
"Schaumburg Bank & Trust Company, N.A.",23591
"GO DADDY OPERATING COMPANY, LLC",23592
"ARC PROPERTIES OPERATING PARTNERSHIP, L.P.",23593
New Residential Investment Corp,23596
"ENABLE MIDSTREAM PARTNERS, LP",23598
"Hawaiian Airlines, Inc.",23604
"Jefferies LoanCore, LLC",23605
YADKIN BANK,23610
PLATFORM SPECIALTY PRODUCTS CORPORATION,23612
"RCN TELECOM SERVICES, LLC",23613
FREEPORT-MCMORAN OIL & GAS LLC,23614
"VANTAGE ONCOLOGY, LLC",23615
Jones Energy Inc,23617
"EMERALD EXPOSITIONS HOLDING, INC.",23618
Virgin Media Inc.,23621
"SOLAR STAR FUNDING, LLC",23623
"Retail Opportunity Investments Partnership, LP",23630
FS ENERGY AND POWER FUND,23631
"NRG YIELD, INC.",23637
"Quality Tech, LP",23638
Mizuho Bank Ltd,23640
"GARDNER DENVER HOLDINGS, INC.",23645
"AIG LIFE HOLDINGS, INC.",23646
National Bank of Kuwait,23650
Time Warner Cable Enterprises LLC,23651
