Target Name,Target No.
Yorkshire Power Finance Limited,14662
YORKSHIRE WATER FINANCE PLC,9890
Yorkshire Water Services Bradford Finance Limi,9405
Yorkshire Water Services Finance Limited,9245
YORKSHIRE WATER SERVICES LIMITED,9171
YORKSHIRE WATER SERVICES ODSAL FINANCE LIMITED,14836
YONGDA INVESTMENT LIMITED,25340
Yokohama Finance Cayman Limited,14704
Yokohama Preferred Capital Cayman Limited,14933
Yinson Juniper Ltd,25390
YINSON TMC SDN. BHD.,15979
Yingde Gases Investment Limited,25282
YCC HOLDINGS LLC,22282
Yardville Capital Trust II,22460
"YANLORD LAND (HK) CO., LIMITED",10483
ABB Finance (Australia) Pty Limited,3541
Abbey National Sterling Capital PLC,9059
Abbott Ireland Financing Designated Activity C,24734
"Abbott Japan Co., Ltd.",13524
Abbott Medical Optics Inc.,19662
