Target Name,Target No.
"BBVA Bancomer, S.A. de C.V.",15571
"BBVA CAPITAL FINANCE, S.A.U.",8024
"BBVA Consumo 1, Fondo de Titulizacion de Activ",8059
BBVA Consumo 2 Fondo de Titulizacion de Activo,8070
BBVA FINANZIA AUTOS 1 Fondo de Titulizacion de,8073
BBVA Global Finance Ltd,14716
BBVA Global Markets B.V.,16299
BBVA International Preferred S.A. Unipersonal,8050
"BBVA Senior Finance, S.A. Unipersonal",8038
"BBVA Subordinated Capital, S.A. Unipersonal",8042
BBVA U.S. Senior S.A. Unipersonal,8058
BBVA-4 PYME Fondo de Titulizacion de Activos,8047
BBVA-5 FTPYME Fondo de Titulizacion de Activos,8065
BBVA-6 FTPYME Fondo de Titulizacion de Activos,8075
BCP Emisiones Latam 1 S.A.,5773
BCP Finance Company,14718
BMW (UK) Capital plc,9034
BMW Australia Finance Limited,3264
"BMW Automotive Finance (China) Co., Ltd.",6977
"BMW Bank of North America, Inc.",22137
