Target Name,Target No.
"SINOHYDRO BUREAU 7 CO., LTD.",6762
"Sinohydro Engineering Bureau 4 Co., Ltd.",6962
Sinohydro Engineering Bureau 8 Corporation Lim,6799
Sinopec Capital (2013) Limited,25284
Sinopec Century Bright Capital Investment Limi,10410
SINOSING SERVICES PTE. LTD.,17984
Sinotrans Sailing Ltd,25311
Sirio Blue Vision Srl,12291
Sirius Real Estate Ltd,9984
Sirius Satellite Radio Inc,1727
SISAL GROUP S.P.A.,12313
SISAL PAY S.P.A.,12368
Sistema Shyam TeleServices Limited,11521
"SITKA HOLDINGS, LLC",15051
"SK Advanced Co.,Ltd.",14438
"SK BATTERY AMERICA, INC.",25032
"SK Incheon Petrochem Co.,Ltd",14415
"SK LUBRICANTS CO., LTD.",14339
SK MAGIC Inc,14528
"SK Plasma Co., Ltd",14602
"SK Shipping Co., Ltd.",14228
