Target Name,Target No.
"Midstates Petroleum Company, LLC.",22907
"Midway S.A. - Credito, Financiamento e Investi",4564
MIDWEST CONNECTOR CAPITAL COMPANY LLC,24806
"Midwest Generation, LLC.",21638
MIGDAL INSURANCE FUNDS RAISING LTD,11182
"MILEAGE PLUS HOLDINGS, LLC",25019
Miller Brewing Company,21810
MILLER HOMES GROUP HOLDINGS PLC,9843
Millicom Inc.,21190
Mind Medicine (MindMed) Inc,5201
Mine Safety Appliances Company,19528
"Mine Safety Appliances Company, LLC",23857
Minera Barrick Misquichilca S.A.,16821
"Minera Mexico, S.A. de C.V.",15572
Minerva Luxembourg S.A.,15236
Minmetals Capital Holdings Limited,7067
Minnesota Bank & Trust,23502
"Minsheng Financial Leasing Co., Ltd.",6785
"Minsheng Securities Co., Ltd.",6408
Mirant JPSCO Finance Ltd.,25217
"Mirant Mid-Atlantic, LLC",21671
"Mirant Trinidad Investments, LLC",21667
"MIRROR MERGER SUB 2, LLC",25146
Mirvac Group Finance Limited,3498
Mirvac Group Funding Limited,3383
MISC Capital Ltd.,15825
Mississagi Power Trust,5093
Mitchells & Butlers Finance Plc,9192
"Mitsubishi Corporation China Co.,Ltd.",6705
Mitsubishi Corporation Finance PLC,9016
MITSUBISHI HC FINANCE AMERICA LLC,25174
"Mitsubishi Motors Credit of America, Inc.",21542
Mitsubishi Trust & Banking Corporation (USA),22026
Mitsubishi UFJ Investor Services & Banking (Lu,15145
"Mitsubishi UFJ Morgan Stanley Securities Co.,L",13590
"Mitsubishi UFJ Securities Holdings Co.,Ltd.",13491
Mitsubishi UFJ Securities International plc,9051
Mitsui & Co Asia Investment Ltd,17795
"Mitsui & Co. (U.S.A.), Inc.",21499
Mitsui & Co. Financial Services (Europe) B.V.,16162
MITSUI & CO. FINANCIAL SERVICES (EUROPE) PLC,9655
Mitsui and Co. UK PLC,9032
"Mitsui Chemicals Tohcello, Inc.",13391
MITSUI LIFE INSURANCE COMPANY LIMITED,13541
Mitsui Sumitomo Insurance Company Limite,1933
"Mitsui Sumitomo Insurance Company,Limited",12888
"Miwa Electric Medical Co., Ltd.",13643
MIZRAHI TEFAHOT ISSUING COMPANY LTD,11161
Mizuho Bank Ltd,23640
"Mizuho Bank Mexico, S.A., Institucion de Banca",15681
"MIZUHO BANK, LTD.",8451
"Mizuho Bank, Ltd.",17851
"Mizuho Bank, Ltd.",13485
"Mizuho Bank, Ltd.",5155
"Mizuho Bank, Ltd.",10329
MIZUHO CAPITAL INVESTMENT (EUR) 1 LIMITED,14775
Mizuho Capital Investment (JPY) 2 Ltd,14849
Mizuho Capital Investment (JPY) 3 Limited,14934
Mizuho Capital Investment (JPY) 4 Limited,14931
Mizuho Capital Investment (JPY) 5 Limited,14837
Mizuho Capital Investment (USD) 1 Limited,14776
Mizuho Capital Investment (USD) 2 Limited,14832
"Mizuho Corporate Bank (China), Ltd.",6426
Mizuho Corporate Bank (USA),21543
"Mizuho Corporate Bank, Ltd.",9180
"Mizuho Corporate Bank, Ltd.",13490
"Mizuho Corporate Bank, Ltd.",3292
"Mizuho Corporate Bank, Ltd.",22210
MIZUHO FINANCE (ARUBA) A.E.C.,3704
Mizuho Finance (Cayman) Limited,14670
Mizuho Finance (Curacao) N.V.,2744
Mizuho Financial Group (Cayman) 2 Limited,14908
MIZUHO FINANCIAL GROUP (CAYMAN) 3 LIMITED,14937
Mizuho Funding LLC,23105
MIZUHO INTERNATIONAL PLC,9027
Mizuho Preferred Capital Company LLC,21590
MIZUHO SECURITIES USA INC.,21714
"Mizuho Trust & Banking Co.,Ltd.",13226
MIZZEN MEZZCO LIMITED,9650
MKB Bank Zrt.,10676
MKB Unionbank AD,3819
MKHK EUROCHEM AO,17227
ML UK Capital Holdings,9190
