Target Name,Target No.
KLP KOMMUNEKREDITT AS,16565
Koc Fiat Kredi Tuketici Finansmani A.S.,18252
KOKSTADFLATEN EIENDOMSINVEST II AS,16620
Komatsu Capital Europe S.A.,15195
Komatsu Finance America Inc.,21531
KOMMUNALBANKEN AS,16545
Kommunalkredit Austria AG,2888
KOMMUNALKREDIT Beteiligungs- und Immobilien Gm,2881
Kommunekredit,7886
Kommuninvest i Sverige Aktiebolag,17520
Kommunkredit Ab,17539
KONG SHUM UNION PROPERTY MANAGEMENT (HOLDING),10506
Kongsberg Actuation Systems B.V.,16455
Koninklijke Nederlandse Vliegtuigenfabriek Fok,16072
"Korea East-West Power Co., Ltd.",14239
"Korea Hydro & Nuclear Power Co., Ltd.",14204
"Korea Integrated Freight Terminal CO., LTD",14361
"Korea Midland Power Co., Ltd.",14202
KOREA SHIPPING CORPORATION,14300
"Korea South-East Power Co., Ltd.",14234
"Korea Southern Power Co., Ltd.",14238
