Target Name,Target No.
British Columbia Ferry Services Inc.,5075
British Transco Finance Inc.,21002
British Transco International Finance B.V.,16202
Broadgate Financing PLC,9237
BROMFORD HOUSING GROUP LIMITED,9607
"Brown Shoe Company, Inc.",19797
Bryan Bank & Trust,22722
BSH Bosch und Siemens Hausgeraete GmbH,7660
BTMU (Curacao) Holdings N.V.,7363
Bulgarian Energy Holding EAD,3821
Bumble Bee Holdco S.C.A.,15220
Bumi Capital Pte. Ltd,17859
Bumi Investment Pte. Ltd.,17867
BUPA FINANCE PLC.,9008
BURGAN FINANSAL KIRALAMA ANONIM SIRKETI,18280
BURGAN SENIOR SPC LIMITED,2727
BUROVAYA KOMPANIYA EURASIA OOO,17202
BUSEY BANK,22457
BUSINESS SUPPORT OFFICE,2742
BV Leasing - Arrendamento Mercantil S.A.,4159
BVPS II Funding Corporation,21230
