ISSUER_NAME,No. 
Canadian Imperial Bank of Commerce (Hong Kong,10424
Champion Path Holdings Limited,10426
"Taipei Fubon Commercial Bank Co., Ltd",10427
Wharf Finance Limited,10428
China Development Bank (Hong Kong Branch),10429
Wharf Finance (No. 1) Limited,10430
China Goldjoy Group Ltd,10432
Lotte Properties (Shenyang) Limited,10435
Union Bank of India,10436
Franshion Capital Limited,10439
"State Bank of India, Hong Kong Branch",10440
PACNET LIMITED,10443
Sinochem Overseas Capital Company Limited,10444
"CHINA MERCHANTS SECURITIES (HK) CO., LIMITED",10445
CNCB (Hong Kong) Investment Limited,10446
National Bank of Abu Dhabi - Public Joint Stoc,10450
Wiseyear Holdings Limited,10452
CNPC FINANCE (HK) LIMITED,10453
"BYD (H.K.) Co., Limited",10454
CHINA INTERNATIONAL CAPITAL CORPORATION HONG K,10455
CHINA PING AN INSURANCE OVERSEAS (HOLDINGS) LI,10456
CJ Global Holdings Limited,10459
MCC Holding (Hong Kong) Corporation Limited,10461
Eastern Air Overseas (Hong Kong) Corporation L,10462
"HAINAN AIRLINES (HONG KONG) CO., LIMITED",10463
"Banco Santander, S.A.",10464
Anstock Limited,10465
CHINA FIRST CAPITAL GROUP LIMITED,10466
China International Marine Containers (Hong Ko,10468
MICHAEL KORS HOLDINGS LIMITED,10469
Hero Asia Investment Limited,10471
LOTTE SHOPPING BUSINESS MANAGEMENT (HONG KONG),10474
Rosy Unicorn Limited,10475
"Shanghai Pudong Development Bank Co., Ltd",10476
"Zoomlion HK SPV Co., Limited",10477
Proven Honour Capital Limited,10478
Yancoal International Resources Development Co,10479
China Minsheng Banking Corp Ltd (Hong Kong Bra,10480
Eureka Investment Company Limited,10481
Swire Properties MTN Financing Ltd,10482
