Target Name,Target No.
SK MAGIC Inc,14528
SK materials airplus Incorporated,14617
"SK Plasma Co., Ltd",14602
"SK Shipping Co., Ltd.",14228
"SK SHIPPING EUROPE, PLC.",9348
"SK Telesys Co., Ltd",14278
"SK Telink, Corp.",14289
Skandiabanken Aktiebolag (publ),17536
SKANDIABANKEN BOLIGKREDITT AS,16600
Skandinaviska Enskilda Banken Ab (New York Bra,22869
"SKC hi-tech&marketing co.,ltd.",14573
SkoFIN s.r.o.,7400
Sky Financial Capital Trust I,21635
SKYEPHARMA (JERSEY) LIMITED,12446
Skyland Mining (BVI) Limited,25314
Skyline Strategies II LLC,25171
SKYMILES IP LTD.,15045
Skysea International Capital Management,25245
SKYWAY CONCESSION COMPANY LLC,22456
SL Green Operating Partnership LP,22096
SL MACS PLC,9229
SLEEPY HOLLOW CAPITAL TRUST I,24723
SLM Student Loan Trust 2004-2,21860
SLM Student Loan Trust 2004-3,21963
SLM Student Loan Trust 2004-5,21925
Slough Estates PLC,1681
"Smart Balance, Inc.",19261
Smart Insight International Limited,25401
SmarTone Finance Limited,25280
SMARTWEB INTERNET SERVICES LIMITED,11940
"SMBC Capital Markets, Inc.",21179
SMBC Nikko Securities Inc.,13598
SMC GLOBAL POWER HOLDINGS CORP.,16904
SMCP GROUP S.A.S.U.,8612
SMFG Preferred Capital GBP 1 Limited,14788
SMFG PREFERRED CAPITAL GBP 2 LIMITED,14822
SMFG Preferred Capital JPY 1 Limited,14916
SMFG Preferred Capital JPY 3 Limited,14847
SMFG Preferred Capital USD 1 Limited,14790
SMFG Preferred Capital USD 2 Limited,14815
SMFG Preferred Capital USD 3 Limited,14821
"Smith's Food & Drug Centers, Inc.",21391
Smurfit Kappa Acquisitions,10938
Smurfit Kappa Funding PLC,10931
SMURFIT KAPPA TREASURY FUNDING LIMITED,10913
Smurfit Kappa Treasury Unlimited Company,11081
SNB Capital Trust IV,21888
SNCF RESEAU,8399
SNC-LAVALIN INNISFREE MCGILL FINANCEMENT INC.,5183
SNIA Ord,2263
SNS Bank N.V.,16130
SOAR GREAT LIMITED,6916
SOAR WISE LIMITED,15022
SOBRAL I SOLAR ENERGIA SPE S.A.,4468
"Social Financing SK, s.r.o.",18022
SOCIEDAD CONCESIONARIA AUTOPISTA CENTRAL S.A.,5759
Sociedad Concesionaria Ruta del Algarrobo S.A.,5805
Sociedad Concesionaria Salud Siglo XXI S.A.,5801
"SOCIEDADE BIOELETRICA DO MONDEGO, S.A.",17077
SOCIETE AIR FRANCE S.A.,8485
SOCIETE ANONYME DE CREDIT A L'INDUSTRIE FRANCA,8516
SOCIETE ANONYME DE GESTION DE STOCKS DE SECURI,8423
Societe des Autoroutes du Nord et de I'Est de,8434
SOCIETE D'INFRASTRUCTURES GAZIERES S.A.,8544
SOCIETE DU GRAND PARIS,8631
Societe Europeenne de Banque SA,15111
Societe Francaise du Radiotelephone S.A.,8414
SOCIETE GENERALE (TAIPEI BRANCH),18464
Societe Generale Bank Nederland NV,16206
SOCIETE GENERALE DE BELGIQUE,3760
Societe Generale Effekten GMBH,7671
Societe Generale Marocaine de Banques SA,15444
"Societe Generale North America, Inc.",22178
Societe Generale Securities Services S.p.A.,12146
SOCIETE IMMOBILIERE DE LOCATION POUR L'INDUSTR,8371
Societe Marocaine de Courtage en Valeurs Mobil,15446
Society of Lloyd's,9806
Soco Finance (Jersey) Limited,12428
SODEXO FINANCE DESIGNATED ACTIVITY COMPANY,11074
Sofipa SGR S.p.A.,12279
SOGECAP S.A.,8594
SOGEFIMUR S.A.,8640
SOGELEASE MAROC,15454
