Target Name,Target No.
Oi Brasil Holdings Cooperatief U.A.,16390
OI European Group B.V.,16254
Oi Movel S.A. - Em Recuperacao Judicial,4460
"OIL CASUALTY INSURANCE, LTD.",3875
OIL INDIA INTERNATIONAL PTE. LTD.,17947
OIL INSURANCE LIMITED,3871
"OJSC ""MTS Bank""",17169
OLD CARCO LLC,21108
Old Carco LLC,22388
Old Mutual Life Assurance Company (South Afric,25572
"OLD PLANK TRAIL COMMUNITY BANK, NATIONAL ASSOC",23481
Oleoducto Central S.A.(Ocensa),7310
Oliver Capital S.A R.L.,15406
OLSA S.P.A.,12340
OM Asset Management PLC,9687
OMGRID FUNDING LIMITED,15002
"OMX Timber Finance Investments I, LLC",21956
ONCOR ELECTRIC DELIVERY COMPANY LLC,21738
"OneBeacon U.S. Holdings, Inc.",21809
ONESAVINGS BANK PLC,9484
Onesteel Limited,579
