ISSUER_NAME,No. 
TORONTO DOMINION (SOUTH EAST ASIA) LIMITED,17948
INDIKA ENERGY CAPITAL II PTE. LTD.,17949
OXLEY MTN PTE. LTD.,17950
SINOCHEM INTERNATIONAL DEVELOPMENT PTE. LTD.,17952
OUE CT TREASURY PTE. LTD.,17953
INNOVATE CAPITAL PTE. LTD.,17954
"SUMITOMO MITSUI TRUST BANK, LIMITED SINGAPORE",17956
INDIKA ENERGY CAPITAL III PTE. LTD,17957
"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD. SIN",17959
Cromwell European Real Estate Investment Trust,17960
SSMS PLANTATION HOLDINGS PTE. LTD.,17962
Medco Platinum Road Pte Ltd,17963
RCS Trust,17964
CREDIT SUISSE AG,17965
GEO COAL INTERNATIONAL PTE. LTD.,17967
"CHINA MERCHANTS BANK CO., LTD",17968
AEV INTERNATIONAL PTE. LTD.,17969
LLPL CAPITAL PTE. LTD.,17970
CATHAY UNITED BANK,17972
CES TREASURY PTE. LTD.,17973
CJ LOGISTICS ASIA PTE. LTD,17974
Medco Oak Tree Pte. Ltd,17975
"TAISHIN INTERNATIONAL BANK CO., LTD. SINGAPORE",17978
"TAIPEI FUBON COMMERCIAL BANK CO., LTD. SINGAPO",17980
JOLLIBEE WORLDWIDE PTE. LTD.,17982
MEDCO BELL PTE. LTD.,17983
SINOSING SERVICES PTE. LTD.,17984
"MAXEON SOLAR TECHNOLOGIES, LTD.",17985
INDIKA ENERGY CAPITAL IV PTE. LTD.,17986
SINGPOST GROUP TREASURY PTE. LTD.,17988
SGX TREASURY I PTE. LTD.,17989
THE NATIONAL COMMERCIAL BANK (SINGAPORE BRANCH,17990
MAYBANK SINGAPORE LIMITED,17991
The Norinchukin Bank (Singapore Branch),17992
Oversea-Chinese Banking Corporation Ltd (Sunte,17993
FLCT TREASURY PTE. LTD.,17994
Medco Laurel Tree Pte. Ltd.,17995
"ACH, druzba za gospodarjenje z nalozbami, d.d.",17998
UNICREDIT BANKA SLOVENIJA d.d.,18001
"ADRIA MOBIL Proizvodnja, trgovina in storitve,",18002
