ISSUER_NAME,No. 
Central Glass Company Limited,2104
Meitec Corporation,2132
Bookham Inc,2143
Comsys Holdings Corp.,2159
Insituform Technologies,2164
Sumitomo Osaka Cement Company Limited,2177
Nomura Company Limited,2180
Kaba,2200
Venture Corp. Limited,2216
Uniq PLC,2246
Overseas Union Enterprises Limited,2289
Bobst Group AG,2307
Georg Fischer,2310
Komori Corporation,2313
Kmart Financing I,2359
Cofinimmo SA,2403
BOSTADS AB DROTT,2407
MI Developments Inc,2410
Chartered Semiconductor Manufacturing Li,2422
RM PLC,2439
Texwinca Holdings Limited,2496
Iaws Group PLC,2503
Migros Turk AS,2504
CAROLINA POWER & LIGHT CO,2527
Electra Private Equity PLC,2540
GLAXO WELLCOME P.L.C.,2549
SANTA FE INTERNATIONAL CORPORATION,2597
Six Continents PLC,2603
SPRINGS INDUSTRIES INC,2605
ZURICH ALLIED AG,2622
"FREESCALE SEMICONDUCTOR, INCORPORATION",2640
Emirates Bank International PJSC,2692
Emirates Airline,2700
Xstrata Finance (Dubai) Limited,2701
MAJID AL FUTTAIM HOLDING (L.L.C),2702
Investment Corporation of Dubai,2703
Dolphin Energy Limited,2705
Vontobel Financial Products Ltd.,2706
AXIS Bank Limited,2707
IDBI Bank,2708
ICICI Bank Limited,2709
Bank Al Sean Al Sinaey w Al Tejary Al Mahdood,2710
Ruwais Power Company PJSC,2711
Industrial and Commercial Bank of China (Middl,2714
Industrial and Commercial Bank of China Limite,2717
"Agricultural Bank of China Co., Ltd (Dubai Bra",2718
