Target Name,Target No.
Alpha 2 B.V.,16438
Alpha 3 B.V.,16431
ALPHA BANK CYPRUS LTD,7376
ALPHA BANK ROMANIA SA,17123
Alpha Bank SA,998
ALPHA BANK SOCIETE ANONYME,10043
Alpha Credit Group PLC,9068
Alpha Group Jersey Limited,12401
"ALPHABET HOLDING COMPANY, INC.",23293
ANNINGTON FINANCE NO. 1 PLC,9002
ANNINGTON FUNDING PLC,9832
ANNINGTON LIMITED,9552
ASCENDAS HOSPITALITY TRUST MANAGEMENT PTE. LTD,17888
ASCENDAS IT PARK (CHENNAI) LIMITED,11864
ASCENDAS PROPERTY FUND TRUSTEE PTE. LTD.,17878
ASCENDAS PTE LTD,17832
Autopista Concesionaria Astur-Leonesa S.A.,8012
"AUTOPISTA DEL GUADALMEDINA, CONCESIONARIA ESPA",8164
"Autopista del Sol, Concesionaria Espanola S.A.",8092
Autopista Fernao Dias S.A.,4319
