ISSUER_NAME,No. 
Canadian Imperial Bank Of Commerce,5406
ENTREPRISES CARA LIMITEE,5409
Bay Adelaide East LP,5410
Bell Canada Inc.,5412
ATRIUM INNOVATIONS INC.,5414
Fair Hydro Trust,5416
Brookfield Property Finance ULC,5419
TransAlta OCP LP,5422
Algonquin Power Co.,5424
"Sysco Canada, Inc",5426
1011778 B.C. UNLIMITED LIABILITY COMPANY,5427
VITERRA INC.,5429
ADVANZ PHARMA CORP.,5432
Lightspeed POS Inc,5434
Clarios Global LP,5435
"HARLEY-DAVIDSON FINANCIAL SERVICES CANADA, INC",5436
NISSAN CANADA INC.,5437
The Bell Telephone Company of Canada or Bell C,5438
Enbridge Gas Inc.,5439
China Construction Bank Corp (Toronto Branch),5440
Wells Fargo Canada Corporation.,5442
REPSOL OIL & GAS CANADA INC.,5443
OVINTIV CANADA ULC,5446
"Liberty Utilities (Canada) LP,",5447
FIRST NATIONAL FINANCIAL GP CORPORATION,5448
MEGLOBAL CANADA ULC,5450
The Canada Life Assurance Company,5452
COMPAGNIE CREDIT FORD DU CANADA,5453
ENERCARE CONNECTIONS INC.,5454
Element Fleet Management Inc.,5457
GLENCORE CANADA CORPORATION,5463
JOHN DEERE CANADA ULC,5464
TD CAPITAL TRUST II,5466
HYUNDAI CAPITAL CANADA INC.,5467
Royal Bank of Canada (Toronto Branch),5468
Galenica AG,5475
Schweizerische Rueckversicherungs-Gesellschaft,5478
Flughafen Zurich AG,5490
Zuger Kantonalbank,5493
Gurit Holding AG,5496
