Target Name,Target No.
SOCIETE AIR FRANCE S.A.,8485
SOCIETE ANONYME DE CREDIT A L'INDUSTRIE FRANCA,8516
SOCIETE ANONYME DE GESTION DE STOCKS DE SECURI,8423
Societe des Autoroutes du Nord et de I'Est de,8434
SOCIETE D'INFRASTRUCTURES GAZIERES S.A.,8544
SOCIETE DU GRAND PARIS,8631
Societe Europeenne de Banque SA,15111
Societe Francaise du Radiotelephone S.A.,8414
SOCIETE IMMOBILIERE DE LOCATION POUR L'INDUSTR,8371
Societe Marocaine de Courtage en Valeurs Mobil,15446
Society of Lloyd's,9806
Soco Finance (Jersey) Limited,12428
Sofipa SGR S.p.A.,12279
SOGECAP S.A.,8594
SOGEFIMUR S.A.,8640
SOGELEASE MAROC,15454
Solaben Luxembourg S.A.,15329
"SOLAR STAR FUNDING, LLC",23623
Solazyme Inc,23226
SOMOS SISTEMAS DE ENSINO S.A.,4266
Sonae Investments B.V.,16364
