ISSUER_NAME,No. 
Dangote Cement Plc,16058
Africa Finance Corporation,16062
BUA Cement PLC,16063
Fairstar Heavy Transport N.V.,16067
Koninklijke Nederlandse Vliegtuigenfabriek Fok,16072
KPNQwest N.V.,16073
Aalberts Industries N.V.,16075
Morgan Stanley B.V.,16081
ARCADIS N.V.,16090
Getronics N.V.,16093
TKH Group N.V.,16104
Tele2 Netherlands Holding N.V.,16105
New World Resources N.V.,16113
DOW Capital B.V.,16115
Repsol International Finance BV,16116
Scotland International Finance No. 2 B.V.,16117
Haslemere N.V.,16118
Basell Finance Company BV,16119
Rabobank Nederland N.V.,16120
Deutsche Finance (Netherlands) B.V.,16121
Volkswagen International Finance N.V.,16122
Peugeot Finance International NV,16123
Toyota Motor Finance (Netherlands) B.V.,16125
WestlandUtrecht Hypotheekbank N.V.,16126
N.V. Bank Nederlandse Gemeenten,16127
Daimler International Finance B.V.,16128
ASR Bank N.V.,16129
SNS Bank N.V.,16130
ING Verzekeringen NV,16131
Gmac International Finance B.V.,16132
N.V. Nederlandse Gasunie,16134
Deutsche Bahn Finance BV,16135
Bacardi-Martini Finance B.V.,16136
Nippon Oil Finance (Netherlands) B.V.,16137
Saint-Gobain Nederland BV,16138
LeasePlan Corporation N.V.,16139
Achmea Bank N.V.,16140
Ageas Finance N.V.,16141
Hitachi International (Holland) BV,16142
EBN B.V.,16143
"IBERDROLA International, B.V.",16144
AXA Belgium Finance (NL) BV,16145
Hypovereinsbank Finance N.V.,16146
BASF Finance Europe NV,16147
ING Barings NV,16148
Friesland Bank N.V.,16149
