Target Name,Target No.
Greentown Real Estate Group Co. Ltd.,6475
Greenyard Fresh Holding BE,3793
Greif Luxembourg Finance S.C.A.,15228
GRENKE FINANCE PUBLIC LIMITED COMPANY,10941
GRENKELEASING AG,5669
Griffiths McBurney L.P.,5117
GRIFOLS ESCROW ISSUER S.A.,8176
Grifols Worldwide Operations Limited,11030
"Grifols, Inc.",23231
"Grifols, S.A.",7966
GRINDROD BANK Limited,25585
Ground International Development Limited,10206
Group Five Construction Proprietary Limited,25581
GROUPAMA BANQUE S.A.,8435
GROUPAMA SA,8462
Groupe Auchan S.A.,8450
GROUPE DE JEUX AMAYA INC.,5190
GROUPE DES ASSURANCES DU CREDIT MUTUEL SA,8626
GROUPE RESTAURANTS IMVESCOR INC.,4953
GROUPE SEB FRANCE S.A.S.,8541
GROWTHPOINT PROPERTIES INTERNATIONAL (PTY) LTD,25635
Growthpoint Properties Limited,25555
GRUBHUB HOLDINGS INC.,23844
"GRUPO ANTOLIN-IRAUSA, S.A.",8088
GRUPO ARCOR SOCIEDAD ANONIMA,2814
Grupo Aval Limited,14894
"Grupo Financiero BBVA Bancomer, S.A. de C.V.",15552
Grupo Financiero HSBC SA de CV,15566
Grupo Financiero Santander Mexico S.A.B. de C.,15527
"Grupo Mexico Transportes, S.A. de C.V",15676
Grupo Petrotemex S.A. de C.V.,15608
Grupo Unicomer Co. Ltd,18026
GRUPOSURA FINANCE,14880
GS Caltex Corporation,14195
GS E&R Corp.,14255
GS Entec Corp.,14326
"GS EPS Co., Ltd.",14271
GS Financial Products International LP,14679
GS Inima Brasil Ltda.,4265
GS INIMA INDUSTRIAL S.A.,4496
"GS Power Co., Ltd.",14218
GSK FINANCE (NO.3) PLC,9941
"GST USA, Inc.",21232
GTB Finance B.V.,16253
GTH Finance B.V.,16407
GTL Trade Finance Inc.,25215
GTLK EUROPE CAPITAL DESIGNATED ACTIVITY COMPAN,11075
GTLK EUROPE DESIGNATED ACTIVITY COMPANY,11058
GTLK-1520 OOO,17291
"GTP ACQUISITION PARTNERS I, LLC",23246
Guacolda Energia S.A.,5795
Guagdong Datang Internat ional Chaozhou Power,6686
"Guangdong Giant Leap Construction Co., Ltd.",6892
"Guangxi Construction Engineering Group Co., Lt",6704
Guangyuan City Construction Investment Group C,7072
"Guangzhou Asset Management Co., Ltd.",7125
"Guangzhou City Construction & Development Co.,",6771
Guangzhou Hejing Real Estate Development Limit,6947
"Guangzhou Panyu Agile Realty Development Co.,",6958
"Guangzhou Paper Co., Ltd.",6439
Guangzhou Tianjian Real Estate Development Co.,6885
"Guangzhou Times Holdings Group Co., Ltd.",6911
"Guangzhou Yuexiu Financial Holding Group Co.,",6940
"Guangzhou Yuexiu Financial Leasing Co., Ltd.",6941
Guara Norte S.a r.l.,4540
GUARANTY BANK AND TRUST COMPANY,22409
GuideOne Life Insurance Company,21841
GUIMARANIA I SOLAR SPE S.A.,4534
GUIMARANIA II SOLAR SPE S.A.,4494
"Guipuzcoano Capital, Sociedad Anonima Uniperso",8020
"Guizhou Kailin Co., Ltd.",6465
Gujarat Gas Company Limited,11250
"Gulf South Pipeline Company, LP",21980
"GULFSTREAM NATURAL GAS SYSTEM, L.L.C.",22016
"GUODIAN JIANGSU POWER GENERATION CO.,LTD",6732
"GUOHUA LIFE INSURANCE CO., LTD",7255
"Guoren Property and Casualty Insurance Co.,Ltd",7267
GUOTAI JUNAN FINANCIAL HOLDINGS (BVI) LIMITED,25309
GUOTAI JUNAN FINANCIAL HOLDINGS LIMITED,10396
Guotai Junan Financial Products Limited,10593
Guotai Junan Holdings Limited,10558
"Guotai Junan Securities Asset Management Co.,",7076
GUSAP III LP,24925
