ISSUER_NAME,No. 
"Doosan Engine Co., Ltd.",14364
"Pocheon Power Co., Ltd.",14366
SK Energy Co. Ltd.,14367
"SK Global Chemical Co., Ltd",14368
"KT Telecop Co,.Ltd",14369
"Nomura Financial Investment (Korea) Co., Ltd.",14371
"KB Kookmin Card Co., Ltd.",14373
"BNK CAPITAL CO., LTD.",14383
Citigroup Korea Inc.,14384
ORIX Capital Korea Corporation,14385
LOTTE LOGISTICS CORP.,14386
"POSPOWER Co., Ltd.",14387
"SAM HAE COMMERCIAL CO., LTD.",14389
GS ENERGY CORPORATION,14390
HI GOLD OCEAN KMARIN NO.7 SHIP INVESTMENT COMP,14391
"BNK Securities co.,Ltd",14392
WOORI FIS,14393
LG N-Sys,14394
"DSME CONSTRUCTION.CO.,LTD",14395
parnas hotel,14396
"SAMSUNG DISPLAY CO.,LTD.",14397
"KOLMAR KOREA CO.,LTD",14399
MERCEDES-BENZ FINANCIAL SERVICES KOREA LIMITED,14400
"S-Power Co., Ltd",14401
"Hanam Energy Service Co., Ltd.",14403
CJ OLIVE YOUNG CORPORATION,14404
"AMKOR TECHNOLOGY KOREA, INC.",14405
"Woori Card Co., Ltd.",14407
"DGB Capital Co.,Ltd.",14411
"POSCO Processing & Service Co., Ltd.",14412
"SK Incheon Petrochem Co.,Ltd",14415
NHN Entertainment Corp,14416
"Meritz Capital Co., Ltd",14417
"ASIA CEMENT CO.,LTD.",14420
LS I&D Ltd.,14423
"COSMAX, INC.",14425
CJ HealthCare Corporation,14426
POSTECH VENTURE CAPITAL CORPORATION,14427
"Kwangju Bank Co., Ltd.",14429
"Dongbu Life Insurance Co., Ltd.",14430
PS&Marketing Corporation,14432
"Volkswagen Financial Services Korea Co., Ltd.",14434
Devsisters Corp,14436
"KEB Card Co., Ltd.",14437
"SK Advanced Co.,Ltd.",14438
"SAMSUNG BIOLOGICS Co., Ltd.",14440
