Target Name,Target No.
Intu Debenture Plc,9620
Inventive Global Investments Limited,25362
INVERFIN SDN BHD,15862
INVERSIONES CONFUTURO S.A.,5771
INVERSIONES PREVISION SECURITY LIMITADA,5787
"INVERSIONES SELVA, C.A.",25192
"Inversora Bursatil, S.A. de C.V.",15600
INVESCO ASIA TRUST PLC,8885
Invesco Finance PLC,9547
Investec Bank (Australia) Limited,3378
Investec Bank (Mauritius) Limited,15502
Investec Finance PLC,9193
INVESTEC TIER 1 (UK) LP,9249
Investors Bank & Trust Company,21991
INVITATION HOMES OPERATING PARTNERSHIP LP,24463
Iochpe-Maxion Austria GmbH,2911
IOI Investment (L) Berhad,15827
IOI Resources (L) Bhd,15865
IOI Ventures (L) Berhad,15837
IOIP Capital Management Sdn Bhd,15971
Iowa China Offshore Holdings (Hong Kong) Limit,10567
IPF Investments Polska Sp. z o.o.,16987
Ipiranga Productos de Petroleo S.A.,4303
IRIS II SPV DESIGNATED ACTIVITY COMPANY,10969
IRISH LIFE ASSURANCE PUBLIC LIMITED COMPANY,10965
Iron Mountain Canada Operations ULC,5059
IRON MOUNTAIN EUROPE PLC,9406
Iron Mountain Nova Scotia Funding Company,5104
"Iron Mountain US Holdings, Inc.",24334
IRON ORE COMPANY OF CANADA,5163
IRONSHORE HOLDINGS (U.S.) INC.,22671
IronStone Bank,22329
"IROQUOIS GAS TRANSMISSION SYSTEM, L.P.",21634
ISA Capital do Brasil S.A.,4148
ISA Investimentos e Participacoes do Brasil S.,4418
ISABEL BUILDERS & DEVELOPERS PRIVATE LIMITED,11976
iSignthis Ltd,2952
Islamic Development Bank,17352
ISOBEL FINANCE NO. 2 PLC,9695
ISOSCELES INSURANCE LTD.,3942
Israel Discount Bank of New York,22124
ISS Finance B.V.,7926
ISS GLOBAL A/S,7898
Istituto Nazionale di Credito Edilizio,12194
"Istrobanka, a.s.",18011
ITALCEMENTI FINANCE S.A.,8532
Italmobiliare Societa per Azioni,12129
Itau Administradora General de Fondos S.A.,5798
Itau Bank Ltd.,14755
ITAU BBA COLOMBIA S.A CORPORACION FINANCIERA,7346
ITAU BBA INTERNATIONAL PLC,9565
ITAU UNIBANCO S.A.,4578
Itau Unibanco S.A.,4014
ITAU UNIBANCO S.A. (Miami Branch),25138
Itau Unibanco SA,14865
Itau Unibanco SA,23159
ItauBank Leasing Arrendamento Mercantil SA,4123
ITC Midwest LLC,22440
ITHACA ENERGY (NORTH SEA) PLC,9877
ITIQUIRA ENERGETICA S/A,4207
ITK Holding Zartkoruen Mukodo Reszvenytarsasag,10694
ITOCHU Treasury Centre Europe Plc,9467
ITT Industries Luxembourg S.ar.l.,15385
ITW Finance Europe S.A.,15182
IVL SINGAPORE PTE. LTD.,17936
IWG Group Holdings S.a r.l.,15410
"IXE BANCO, S.A.",15606
IXIS Corporate & Investment Bank (Frankfurt Br,7649
"J. C. Penney Corporation, Inc.",21090
"J. CREW BRAND, LLC",24544
"J.M.R. - Gestao de Empresas de Retalho, SGPS,",17037
J.P MORGAN CHASE BANK NATIONAL ASSOCIAT.,8625
J.P. Morgan AG,7642
J.P. Morgan Bank Canada,5101
J.P. Morgan Bank Dublin plc,10922
J.P. Morgan Chase Capital XXI,22292
J.P. Morgan Chase Finance Limited,9515
J.P. Morgan Corporacion Financiera S.A.,7347
J.P. Morgan International Derivatives Ltd.,12380
J.P. MORGAN INTERNATIONAL FINANCE LIMITED,21987
J.P. Morgan plc,17857
J.P. Morgan Securities India Private Limited,11515
J.P. Morgan Securities LLC,21707
