ISSUER_NAME,No. 
CP Foods Capital Limited,18177
BBGI PUBLIC COMPANY LIMITED,18180
Triple T Broadband Public Company Limited,18181
BANQUE TUNISO KOWETIENNE S.A.,18189
Arab International Lease S.A.,18190
YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI,18193
TURKIYE CUMHURIYETI ZIRAAT BANKASI ANONIM SIRK,18241
TURKIYE IHRACAT KREDI BANKASI ANONIM SIRKETI,18242
Garanti Finansal Kiralama AS,18243
ING Bank AS.,18244
BankPozitif Kredi ve Kalkinma Bankasi A.S.,18245
YAPI KREDI FAKTORING ANONIM SIRKETI,18246
HSBC BANK ANONIM SIRKETI,18247
KUVEYT TURK KATILIM BANKASI ANONIM SIRKETI,18248
Deniz Finansal Kiralama AS,18249
DenizFactoring A.S.,18250
YAPI KREDI FAKTORING ANONIM SIRKETI,18251
Koc Fiat Kredi Tuketici Finansmani A.S.,18252
HYUNDAI-ASSAN OTOMOTIV SANAYI VE TICARET ANONI,18253
VOLKSWAGEN DOGUS FINANSMAN ANONIM SIRKETI,18255
KT SUKUK VARLIK KIRALAMA ANONIM SIRKETI,18259
AK Finansal Kiralama Anonim Sirketi,18260
Otokoc Otomotiv Ticaret ve Sanayi Anonim Sirke,18261
Halk Leasing Finansal Kiralama A.S.,18262
Alternatif Finansal Kiralama A.S.,18263
Garanti Filo Yonetim Hizmetleri Anonim Sirketi,18264
ZIRAAT FINANSAL KIRALAMA ANONIM SIRKETI,18265
TF VARLIK KIRALAMA ANONIM SIRKETI,18267
TEB Tuketici Finansman Anonim Sirketi,18268
QNB FINANS YATIRIM MENKUL DEGERLER ANONIM SIRK,18269
AK YATIRIM MENKUL DEGERLER ANONIM SIRKETI,18270
YAPI KREDI YATIRIM MENKUL DEGERLER ANONIM SIRK,18271
VAKIF YATIRIM MENKUL DEGERLER ANONIM SIRKETI,18272
HALK YATIRIM MENKUL DEGERLER ANONIM SIRKETI,18273
DENIZ YATIRIM MENKUL KIYMETLER ANONIM SIRKETI,18274
MERSIN ULUSLARARASI LIMAN ISLETMECILIGI ANONIM,18275
MERCEDES-BENZ FINANSMAN TURK ANONIM SIRKETI,18276
Finans Faktoring Hizmetleri Anonim Sirketi,18277
KT KIRA SERTIFIKALARI VARLIK KIRALAMA ANONIM S,18278
BEREKET VARLIK KIRALAMA ANONIM SIRKETI,18279
