ISSUER_NAME,No. 
Altisource Residential Corp,25433
Hyprop Investments Limited,25440
SA Corporate Real Estate Fund,25448
Redefine Properties Limited,25462
Pinnacle Technology Holdings Ltd,25474
Allied Electronics Corp Ltd,25480
TSOGO SUN HOLDINGS LIMITED,25486
Sentula Mining Limited,25491
Absa Group Limited,25493
Acucap Properties Ltd,25495
Aveng Limited,25500
Emira Property Fund,25510
Liberty Group Limited,25523
Metropolitan Life Limited,25526
Northam Platinum Limited,25534
Resilient Property Income Fund Limited,25542
Eskom Holdings Limited,25554
Growthpoint Properties Limited,25555
Imperial Bank Limited,25556
Vukile Property Fund Ltd,25557
Transnet SOC Ltd,25560
Sasol Financing (Pty) Ltd.,25562
Mercedes-Benz South Africa (Proprietary) Limit,25563
Imperial Group (Pty) Limited,25564
African Bank Limited,25566
FirstRand Bank Limited,25567
Investec Bank Ltd,25568
Steinhoff Services Limited,25569
Toyota Financial Services (South Africa) (Prop,25570
Rand Merchant Bank Ltd,25571
Old Mutual Life Assurance Company (South Afric,25572
Vukile Investment Property Securitisation (Pro,25573
Blue Granite Investments No 1 (RF) Limited,25574
Absan Proprietary Limited,25575
Momentum Group Limited,25576
Sanlam Capital Markets (Pty) Limited,25577
Mobile Telephone Networks Holdings (Proprietar,25578
Sanlam Life Insurance Limited,25579
Barclays Bank of South Africa Ltd,25580
Group Five Construction Proprietary Limited,25581
