ISSUER_NAME,No. 
JSW Steel Coated Products Limited,12007
HASAUD STEEL LIMITED,12008
NETMEDS MARKETPLACE LIMITED,12009
GMR Corporate Affairs Private Limited,12010
RELIANCE COMMERCIAL DEALERS LIMITED,12011
SHOPSENSE RETAIL TECHNOLOGIES PRIVATE LIMITED,12012
Asteria Aerospace Pvt Ltd,12013
ADYAH SOLAR ENERGY PRIVATE LIMITED,12014
VITALIC HEALTH PRIVATE LIMITED,12015
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,12016
SBI DFHI LIMITED,12017
WRSS XXI (A) TRANSCO LIMITED,12018
SHAREKHAN LIMITED,12019
RADISYS INDIA PRIVATE LIMITED,12020
NETTLE INFRASTRUCTURE INVESTMENTS LIMITED,12021
GMR LOGISTICS PARK PRIVATE LIMITED,12022
RENEW SOLAR ENERGY (TN) PRIVATE LIMITED,12023
DALMIA PROMOTERS AND DEVELOPERS PRIVATE LIMITE,12024
QABIL BUILDERS & CONSTRUCTIONS PRIVATE LIMITED,12025
RENEW WIND ENERGY (MP TWO) PRIVATE LIMITED,12026
C-SQUARE INFO-SOLUTIONS PRIVATE LIMITED,12027
PIOMBINO STEEL LIMITED,12028
UDUPI KASARGODE TRANSMISSION LIMITED,12029
TRESARA HEALTH PRIVATE LIMITED,12030
Reliance Projects & Property Management Servic,12031
Renew Solar Energy (Jharkhand Three) Private L,12032
Reliance Strategic Business Ventures Ltd,12033
CREAMLINE DAIRY PRODUCTS LTD.,12034
KAKINADA SEZ LIMITED,12035
RENEW WIND ENERGY (WELTURI) PRIVATE LIMITED,12036
ReNew Wind Energy (Shivpur) Private Limited,12037
Riveria Commercial Developers Limited,12038
MAX LIFE INSURANCE COMPANY LIMITED,12039
TELESONIC NETWORKS LIMITED,12040
Jio Haptik Technologies Limited,12041
NXTRA DATA LIMITED,12042
FUTURISTIC MEDIA AND ENTERTAINMENT LIMITED,12043
Axis Bank Ltd Gift City (Gandhinagar Branch),12044
PALIWAL REAL ESTATE LIMITED,12045
ADANI THIRUVANANTHAPURAM INTERNATIONAL AIRPORT,12046
