Target Name,Target No.
MMC FINANCE LIMITED,11028
MMC International Finance (Netherlands) B.V.,16168
MMK INTERNATIONAL CAPITAL DESIGNATED ACTIVITY,11077
"MMS USA FINANCING, INC.",24853
MMX Porto Sudeste LTDA,4302
"Mobile Energy Services Holdings, Inc.",21246
Mobile Telephone Networks Holdings (Proprietar,25578
MOBILE TELEPHONE NETWORKS HOLDINGS LIMITED,25623
mobilezone ag,5497
MODEL ECONOMIC TOWNSHIP LIMITED,11944
"Modern Farming (Group) CO., Ltd",6778
"Modern Green Development Co.,Ltd.",6986
Modern Times Group MTG AB,1527
Moelis Australia Ltd,3647
Mohawk Capital Finance S.A.,15366
Mohawk Capital Luxembourg S.A.,15328
Mohegan Gaming & Entertainment,21260
MOL GROUP FINANCE SA,15246
Molnlycke Holding AB,17616
Molson Coors Capital Finance ULC,5089
"Molson Coors International L.P.,",23083
MOMENTIVE PERFORMANCE MATERIALS INC.,22249
Mondelez International Holdings Netherlands B.,16424
Mondi Finance Europe GmbH,2916
MONDI FINANCE PLC,9449
Monex Finance Corporation,13790
Mong Duong Finance Holdings B.V.,16463
Monsanto Finance Canada Co.,5084
Montana Power Capital I,21411
Monte dei Paschi di Siena Capital Services Ban,12224
MONTEA SCA,8572
Montepaschi Vita S.p.A.,12255
Monumental Global Funding II,21645
Monumental Global Funding III,22242
Monumental Global Funding Ltd,14688
Moon Wise Global Limited,10516
"MOONGORIDOTCOM CO.,LTD",14504
"MOORIM CAPITAL CO., LTD",14340
Morgan Guaranty Trust Company of New York,21779
Morgan Stanley & Co. International plc,9140
Morgan Stanley (Jersey) Limited,12408
Morgan Stanley Aircraft Finance,21532
Morgan Stanley Asia Products Limited,14801
Morgan Stanley Asia Securities Products LLC,14734
MORGAN STANLEY CAPITAL (CAYMAN ISLANDS) LIMITE,14781
"Morgan Stanley Dean Witter Bank, Inc.",22278
Morgan Stanley India Capital Private Ltd,11559
MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LI,11815
Morgan Stanley International Incorporated,22209
MORGAN STANLEY INTERNATIONAL LIMITED,9201
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIAT",23984
Morgan Stanley Secured Financing LLC,23089
MORHOMES PLC,9907
Morneau Shepell Inc.,4945
MORRILL & JANES BANK AND TRUST COMPANY,23162
MOSELLE CLO S.A.,15166
"MoSys, Inc.",19003
Motability Operations Group Plc,9374
"MOTA-ENGIL, ENGENHARIA E CONSTRUCAO AFRICA, S.",17074
MOTILAL OSWAL FINVEST LIMITED,11877
MOTILAL OSWAL SECURITIES LIMITED,11678
Motion Bondco DAC,11083
Motion Finco S.a r.l.,15397
MOTIVA ENTERPRISES LLC,21730
MOTOR OIL FINANCE PLC,9656
MOUNTAIN CAPITAL CLO IV LTD.,14859
MOUNTAIN MERGER SUB CORPORATION,24715
Movida Europe S.A.,15412
Movida Locacao de Veiculos S.A.,4442
MOY PARK (BONDCO) PLC,9658
MP ENVIRONMENTAL FUNDING LLC,22371
MPG HOLDCO I INC.,24006
MPS BancaVerde S.p.A.,12276
MPS Capital Services Banca per le Imprese SpA,12163
MPS CAPITAL TRUST I,21659
MPS Capital Trust II,21861
MPS Leasing & Factoring SpA,12245
MPT Finance Corp,23490
"MPT Operating Partnership, L.P.",22230
MPX Energia S.A.,4053
Mr Green & Co AB (publ),17598
MRCB SOUTHERN LINK BERHAD,15872
MRH Capital Trust III,3880
