ISSUER_NAME,No. 
SABSA Holdings (Pty) Ltd,25582
Home Obligors Mortgage Enhanced Securities (Pr,25583
Bidvestco Limited,25584
GRINDROD BANK Limited,25585
Sappi Southern Africa (Proprietary) Limited,25586
Clindeb Investments (Proprietary) Limited,25587
Clinic Holdings Limited,25588
Capitec Bank Limited,25589
Shisa Investments (Pty) Limited,25590
Anglo American SA Finance Limited,25592
Vodacom Group Limited,25594
Phaello Finance Company (Proprietary) Limited,25595
Bank of China Limited,25596
Fortress Income Fund Limited,25597
RCS Investment Holdings (Proprietary) Ltd,25598
Rand Merchant Insurance Holdings,25604
Rebosis Property Fund Ltd,25607
Arrowhead Properties Ltd,25610
CPV Power Plant No. 1 Bond SPV (RF) Ltd,25615
Sibanye Gold Ltd,25616
MOBILE TELEPHONE NETWORKS HOLDINGS LIMITED,25623
MTN Holdings (Proprietary) Limited,25625
RESILIENT PROPERTIES PROPRIETARY LTD,25629
BNP PARIBAS PERSONAL FINANCE SOUTH AFRICA LTD,25630
PSG KONSULT TREASURY LTD,25631
GROWTHPOINT PROPERTIES INTERNATIONAL (PTY) LTD,25635
SAPPI SOUTHERN AFRICA LIMITED,25643
Barclays Bank Zambia Plc,25650
Stanbic Bank Zambia Limited,25653
