ISSUER_NAME,No. 
Bank of India,9267
NORTHERN GAS NETWORKS LIMITED,9268
Clydesdale Bank plc,9269
ASSURED GUARANTY (EUROPE) LTD.,9270
BL Superstores Finance PLC,9271
Swiss Re GB Plc,9272
Cumbernauld Funding No.3 plc,9273
PARAGON MORTGAGES (NO.11) PLC,9274
BOI CAPITAL FUNDING (NO.2) LP,9275
"The Sumitomo Trust and Banking Company,Limited",9276
United Utilities Water Plc,9277
URENCO LIMITED,9278
HEATHROW AIRPORT HOLDINGS LIMITED,9279
SCOTTISH HYDRO ELECTRIC TRANSMISSION PLC,9280
AXA Investment Managers,9281
Scottish Hydro Electric Power Distribution plc,9282
WELLCOME TRUST FINANCE PLC,9283
THE WELLCOME TRUST LIMITED,9284
Cargill Global Fundin plc,9285
Pearl Group Holdings (No 1) Limited,9286
ANZ National (Int'l) Limited,9287
BNZ International Funding Limited London Branc,9288
Paragon Mortgages (No.12) PLC,9289
Tarquin Limited,9290
INTERNATIONAL FINANCE FACILITY FOR IMMUNISATIO,9291
Skandinaviska Enskilda Banken AB,9292
Danske Bank A/S,9293
National Australia Bank Ltd,9294
SOUTHERN WATER SERVICES LIMITED,9296
Credit Agricole CIB Holdings Limited,9297
PERMANENT MASTER ISSUER PLC,9299
Mitsubishi UFJ Trust and Banking Corp,9300
NORTHERN POWERGRID (NORTHEAST) LIMITED,9301
Canara Bank,9303
Northumbrian Services Limited,9304
Hutchison Whampoa Finance UK PLC,9305
Northern Powergrid (Yorkshire) plc,9307
OMNICOM FINANCE LIMITED,9308
Liverpool Victoria Friendly Society Limited,9309
ICICI Bank UK PLC,9310
ARKLE MASTER ISSUER PLC,9311
SP DISTRIBUTION PLC,9312
SP Manweb plc,9313
SP TRANSMISSION LIMITED,9314
Bank of Baroda,9315
Holmes Master Issuer plc,9316
