ISSUER_NAME,No. 
Slovenska Sporitelna as,18006
"UniCredit Bank Slovakia, a.s.",18009
"CSOB Leasing, a.s.",18010
"Istrobanka, a.s.",18011
HVB Bank Slovakia a.s.,18012
Ceskoslovenska Obchodni Banka as,18014
"Leasing Slovenskej sporitlene,a.s.",18015
"Ceskoslovenska obchodna banka, a.s.",18016
"Tatra Residence, s.r.o.",18017
"GRANVIA, a.s.",18018
"CPI Finance Slovakia, a.s.",18019
"UniCredit Bank Czech Republic and Slovakia, a.",18020
Nove Mesto ONE Industrial Park II SK s.r.o.,18021
"Social Financing SK, s.r.o.",18022
Telemovil Finance Co. Ltd,18025
Grupo Unicomer Co. Ltd,18026
Thai Storage Battery Public Company Limited,18028
Bangkok Dusit Medical Services Public Company,18030
Bangkok Land Public Company Limited,18032
Thanachart Bank Public Company Limited,18033
Ratchaburi Electricity Generating Holding Publ,18037
Thanachart Capital Public Company Limited,18048
PTT Public Company Limited,18049
The Siam Commercial Samaggi Insurance Public C,18052
Hemaraj Land and Development Public Company Li,18057
Krungthai Thanakit Finance Public Company Limi,18059
Wiik & Hoeglund Public Company Limited,18066
BTS Group Holdings Public Company Limited,18070
Airports of Thailand Public Company Limited,18072
Siam Makro PCL,18079
Industrial and Commercial Bank of China (Thai),18080
Banpu Public Company Limited,18084
Central Pattana Public Company Limited,18086
KCE Electronics Public Company Limited,18094
Robinson Department Store Public Company Limit,18099
TISCO Bank Public Company Limited,18103
Thai Union Frozen Products Public Company Limi,18108
True Corporation Public Company Limited,18111
United Overseas Bank (Thai) Public Company Lim,18112
N.T.S. Steel Group Public Company Limited,18114
