Target Name,Target No.
ING BANK HIPOTECZNY SPOLKA AKCYJNA,17005
ING Bank N.V.,9049
ING Bank NV,3289
ING Bank NV,16124
ING Bank NV (Hong Kong Branch),10362
ING Bank of Canada,5115
ING Barings NV,16148
ING Belgium International Finance S.A.,15146
ING Belgium SA/NV,3766
ING Capital Funding Trust III,21673
ING DiBa AG,7619
"ING Hipotecaria, S.A. de C.V.",15577
ING Security Life Institutional Funding,21807
"ING U.S., Inc.",21493
ING Verzekeringen NV,16131
Ingersoll-Rand Global Holding Company Limited,3884
INGERSOLL-RAND GLOBAL HOLDING COMPANY LIMITED.,23962
Ingersoll-Rand Luxembourg Finance S.A.,15308
Inkia Energy Ltd.,16830
INLAND NORTHWEST BANK,22797
Inmarsat Finance plc,9202
INMOBILIARIA APOQUINDO SA,5806
Inner Mongolia Datang International Tuoketuo P,6681
innogy Finance II B.V.,16400
innogy SE,7843
"Innophos Investments Holdings, Inc.",21973
INNOVATE CAPITAL PTE. LTD.,17954
InPower BC General Partnership,5287
Insituform Technologies,2164
INSTITUTIONAL SHAREHOLDER SERVICES INC.,22862
Integer Investment PCC Limited,10005
Integracao Transmissora de Energia S.A.,4471
"INTEGRYS HOLDING, INC.",24184
INTELLECT AIM MANAGEMENT LTD.,25417
Intelsat (Luxembourg) S.A.,15221
Intelsat Connect Finance S.A.,15356
Intelsat Jackson Holdings S.A.,15187
INTER MEDIA AND COMMUNICATION S.P.A.,12349
Inter Pipeline (Corridor) Inc.,5081
INTERACTIVE DATA HOLDINGS CORPORATION,23160
INTERACTIVE VISUAL SOLUTIONS PRIVATE LIMITED,11913
Inter-American Development Bank,22506
INTERCEMENT BRASIL S.A.,4141
INTERCHILE S.A.,5808
"Intercontinentalexchange Group, Inc.",23721
Intergas Finance B.V.,16230
Interligacao Eletrica do Madeira S.A.,4257
Interligacao Eletrica Garanhuns S.A.,4295
Intermarket Bank AG,2883
Internacional de Titulos Sociedad Titulizadora,16817
International Bank for Reconstruction and Deve,22507
International Endesa B.V.,16133
"International Far Eastern Leasing Co., Ltd.",6457
INTERNATIONAL FINANCE FACILITY FOR IMMUNISATIO,9291
INTERNATIONAL POWER FINANCE (2010) PLC,9456
International Transmission Company,21829
INTERSTAR MILLENIUM SERIES 2004 2G TRUST,3331
Interstar Millennium Series 2001-1E Trust,3298
INTERSTAR MILLENNIUM SERIES 2002-1G TRUST,3300
Interstar Millennium Series 2003-3G Trust,3317
Interstar Millennium Series 2004-4E Trust,3330
Interstar Millennium Series 2004-5 Trust,3338
Interstar Millennium Series 2005-1G Trust,3457
INTERSTAR MILLENNIUM SERIES 2005-2L TRUST,3348
Interstar Millennium Series 2006-1 Trust,3362
Interstar Millennium Series 2006-2G Trust,3375
INTERSTAR MILLENNIUM SERIES 2006-4H TRUST,3395
INTERTAPE POLYMER US INC.,21937
Intertrust Group B.V.,16410
INTERVAL ACQUISITION CORP.,22567
"Interval Leisure Group, Inc.",22544
Intesa Bank Ireland plc,10920
Intesa Funding LLC,22435
Intesa Mediofactoring S.p.A.,12260
Intesa Sec. 3 S.r.l.,12257
Intesa Sec.2 S.r.l.,12212
Intime Department Store (Group) Company Limite,6074
INTL Fcstone Inc,18614
Intralot Capital Luxembourg S.A.,15287
"INTRALOT, INC.",24119
Intrepid Mines Limited,3021
Intrexon Corp,23663
INTU (JERSEY) 2 LIMITED,12487
