Target Name,Target No.
ROSSEL'KHOZBANK AO,17245
ROSSIISKII BANK PODDERZHKI MALOGO I SREDNEGO P,17246
Rosy Unicorn Limited,10475
ROTHESAY LIFE PLC,9509
"ROUNDY'S SUPERMARKETS, INC.",21716
"Rouse Company, LLC.",21257
Rovi Corporation,20883
Rowan Companies Income,1668
Royal & Sun Alliance Insurance Group PLC,1669
Royal Bank of Canada (Toronto Branch),5468
Royal Bank of Scotland N.V.,5018
"ROYAL LONDON MUTUAL INSURANCE SOCIETY,LIMITED(",9241
Royal Schiphol Group N.V.,16170
ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,11765
RPM United Kingdom G.P.,9265
RPV COMPANY,14953
"RSC Equipment Rental, Inc.",22538
RSHB CAPITAL S.A.,15162
RTE EDF Transport S.A.,8471
"RTI Biologics, Inc.",18973
Rubicon Project Inc,23830
RUBIS S.C.A.,8363
RUBIS TERMINAL INFRA SAS,8650
"RUBY PIPELINE, L.L.C.",23022
Ruddick Corp.,19327
RUDRA SOLARFARMS LIMITED,11863
RUKUN JUANG SDN. BHD.,15996
RUMO LOGISTICA OPERADORA MULTIMODAL S. A.,4366
Rumo Luxembourg S.a r.l.,15358
Rural Bank Limited,3295
RURAL CEDULA I Fondo de Titulizacion de Activo,8123
Rural Hipotecario II Fondo de Titulizacion Hip,8003
RURALPYME 1 FTPYME FONDO DE TITULIZACION DE AC,8034
RURALPYME 2 FTPYME Fondo de Titulizacion de Ac,8068
RUSAL BRATSK PAO,17273
RUSAL CAPITAL DESIGNATED ACTIVITY COMPANY,11068
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,5751
RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,5807
Ruta del Maipo Sociedad Concesionaria S.A.,5748
Ruta del Maule Sociedad Concesionaria S.A.,5750
Rutas de Lima S.A.C.,16838
Ruwais Power Company PJSC,2711
RWE Finance BV,16188
RYANAIR LIMITED,10985
Ryanair PLC,910
Ryder Truck Rental Canada Ltd,5188
RZB Finance (Jersey) II Limited,12405
RZB FINANCE (JERSEY) III LIMITED,12410
RZB Finance (Jersey) IV Limited,12426
S&B Minerals Finance S.C.A.,15269
"S. C. JOHNSON & SON, INC.",21486
S.E.A. Societa Europea Autocaravan S.p.A.,12324
"S.G.F.P. Mexico, S. de R.L. de C.V.",15649
"S.Y. Bancorp, Inc.",19286
SA GLOBAL SUKUK LIMITED,15050
SA Power Networks,3372
"Sabadell United Bank, N.A.",22195
"SABADELL URQUIJO COOPERACION, SICAV, S.A.",7997
"Sabal Trail Transmission, LLC",24644
SABANA SUKUK PTE. LTD.,17915
Saber Servicos Educacionais LTDA,4461
SABIC Capital I B.V.,16293
SABIC Capital II B.V.,16351
"Sabine Pass LNG, L.P.",22231
SABMiller Holdings Inc.,23345
SABMiller India Ltd,11681
Sabra Health Care Limited Partnership,23092
SABRE GLBL INC.,22321
SABSA Holdings (Pty) Ltd,25582
Sadia Overseas Ltd,14796
SAFEHOLD OPERATING PARTNERSHIP LP,24545
Safety First Trust Series 2007-4,20926
Safety First Trust Series 2008-1,22489
Safety First Trust Series 2008-3,22610
Safety First Trust Series 2008-4,22633
Safety First Trust Series 2008-5,22660
Safety First Trust Series 2008-6,22672
Safety First Trust Series 2009-1,22773
Safety First Trust Series 2009-2,22786
SAFRA LEASING SA ARRENDAMENTO MERCANTIL,4096
Sagax EURO MTN NL B.V.,16477
Sagerpar,3776
SAGRES - SOCIEDADE DE TITULARIZACAO DE CREDITO,17056
