Target Name,Target No.
"Taiping General Insurance Co.,Ltd.",6996
Taishin International Bank (Hong Kong Branch),10420
"Taishin Securities Co.,Ltd.",18493
Taiwan Cooperative Bank,18299
Taiwan Shin Kong Commercial Bank Co Ltd (Hong,10650
Taiwan Shin Kong Commercial Bank Company Ltd.,18463
TAKUGIN FINANCE (CAYMAN) LIMITED,14696
TAL Advantage I LLC,22670
TAL Advantage IV LLC,23104
Talanx Finanz (Luxemburg) S.A.,15158
Talent Yield (Euro) Limited,25333
Talent Yield European Limited,25373
Talent Yield International Limited,10651
Talent Yield Investments Limited,25252
Talmer Bank and Trust,23136
TALOS PRODUCTION LLC,23532
Talwandi Sabo Power Limited,11600
TAMINCO GLOBAL CHEMICAL CORPORATION,23347
Tampa Electric Company,21071
TAMWEEL FUNDING III LTD.,14893
Tangara Energia S.A.,4353
Tanger Properties Limited Partnership,21279
Tanjung Bin Energy Issuer Berhad,15923
TANJUNG BIN ENERGY SDN. BHD.,15987
Tanjung Bin O&M Berhad,15950
Tanjung Bin Power Sdn. Bhd.,15836
Tanjung Bin Power Sdn. Bhd.,15833
"TARGA PIPELINE PARTNERS, L.P.",19737
"Targacept, Inc.",20607
Target Healthcare REIT Ltd,12463
TARGOBANK AG & Co. KGaA,7630
Tarjeta Naranja S.A.,2788
Tarjetas Cuyanas S.A.,2790
TARJETAS DEL MAR SOCIEDAD ANONIMA,2785
Tarquin Limited,9290
TARSHOP SOCIEDAD ANONIMA,2806
TARUN KIRAN BHOOMI PRIVATE LIMITED,11994
TASTY BONDCO 1 SA,8167
TATA COMMUNICATIONS PAYMENT SOLUTIONS LIMITED,11820
Tata Motors Finance Limited,11524
TATA MOTORS FINANCE SOLUTIONS PRIVATE LIMITED,11707
Tata Power Delhi Distribution Limited.,11572
TATA POWER SOLAR SYSTEMS LIMITED,11533
TATA POWER TRADING COMPANY LIMITED,11556
TATA STEEL PROCESSING AND DISTRIBUTION LIMITED,11768
Tate & Lyle International Finance Plc,9056
"Tatra Residence, s.r.o.",18017
"TAYLOR MORRISON COMMUNITIES, INC.",23384
TBG GLOBAL PTE. LTD.,17899
"TBK BANK, SSB",24245
TCC - TRANSMISSORA CAMINHO DO CAFE S.A.,4470
TCCL (Finance) Limited,10655
TCL Technology Investments Limited,10637
"TCM Sub, LLC",22942
TCNZ Finance Limited,16666
TCP - Terminal de Conteineres de Paranagua S/A,4406
TCP Capital Corp,23387
TD Auto Finance LLC,21109
TD Bank National Association,21949
"TD Bank USA, National Association",22746
TD Capital Trust,4979
TD CAPITAL TRUST II,5466
TD Capital Trust IV,5158
"TEAM HEALTH, INC.",21521
TEB Tuketici Finansman Anonim Sirketi,18268
Tech Mahindra Limited,11311
Techne Corporation,20611
Technip Eurocash S.N.C.,8498
"TECO Finance, Inc.",22441
Tecpetrol S.A.,2781
Teekay Shuttle Tankers LLC,3928
Teijin Holdings Netherlands B.V.,16216
"TEL FSI, INC.",18606
Tele2 Netherlands Holding N.V.,16105
"TELEBEC, LIMITED PARTNERSHIP",5095
Telecom Italia Finance S.A.,15150
TELECOM PERSONAL SOCIEDAD ANONIMA,2789
"Teledyne FLIR, LLC",25166
"Teledyne LeCroy, Inc.",19168
TELEFONICA CELULAR DEL PARAGUAY SA,17081
Telefonica Emisiones S.A.U.,8056
"Telefonica Europe, B.V.",16152
"Telefonica Finance USA, L.L.C.",21934
