ISSUER_NAME,No. 
LMIRT CAPITAL PTE. LTD.,17886
First Gulf Bank PJSC,17887
ASCENDAS HOSPITALITY TRUST MANAGEMENT PTE. LTD,17888
AACI REIT MTN PTE. LTD.,17889
Far East Hospitality Trust,17890
MAPLETREE COMMERCIAL TRUST TREASURY COMPANY PT,17891
RHT Health Trust,17893
KEPPEL LAND FINANCIAL SERVICES PTE. LTD.,17894
MICRON SEMICONDUCTOR ASIA PTE. LTD.,17895
ALAM SYNERGY PTE. LTD.,17898
TBG GLOBAL PTE. LTD.,17899
Keppel GMTN Pte Ltd,17900
ABJA INVESTMENT CO. PTE. LTD.,17901
OTTAWA HOLDINGS PTE. LTD.,17903
PSA INTERNATIONAL PTE LTD,17907
OSA GOLIATH PTE. LTD.,17908
SUNTEC REIT MTN PTE. LTD.,17913
PUMA ENERGY HOLDINGS PTE. LTD.,17914
SABANA SUKUK PTE. LTD.,17915
GOLDEN LEGACY PTE. LTD.,17917
RH INTERNATIONAL (SINGAPORE) CORPORATION PTE.,17918
GOLDEN ASSETS INTERNATIONAL INVESTMENT PTE.LTD,17919
EMIRATES NBD PJSC SINGAPORE BRANCH,17920
PAKUWON PRIMA PTE. LTD.,17921
MC FINANCE & CONSULTING ASIA PTE. LTD.,17925
KEPPEL REIT MTN PTE. LTD.,17929
UOL TREASURY SERVICES PTE. LTD.,17930
Global Prime Capital Pte. Ltd.,17931
MEDCO ENERGI GLOBAL PTE. LTD.,17932
COSL SINGAPORE CAPITAL LTD.,17933
IC Power Ltd,17934
IVL SINGAPORE PTE. LTD.,17936
Broadcom Limited,17938
Medco Strait Services Pte Ltd,17939
PSA TREASURY PTE LTD,17940
ONGC VIDESH VANKORNEFT PTE. LTD.,17942
Standard Chartered Bank (Singapore) Limited,17944
FCOT TREASURY PTE. LTD.,17945
BPRL INTERNATIONAL SINGAPORE PTE. LTD.,17946
OIL INDIA INTERNATIONAL PTE. LTD.,17947
