Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Stena International S.A.,15281,stena international,stena,Stena Line AB,180901,92.39999999999999,stena international,Astea International,52437,96.60000000000001,stena international,Astea International,52437,96.60000000000001
OHL Investments S.A.,15267,ohl investments,ohl,Kohls Brazilian Depositary Receipt,149549,89.0,ohl investments,Investments,42565,97.0,ohl investments,Investments,42565,97.0
Jinmao (China) Investments Holdings Limited,10521,jinmao (china) investments holdings,jinmao,China Jinmao Holdings Group,97456,91.6,jinmao (china),Hi,26603,82.2,jinmao (china) investments,Investments,42565,89.6
Yancoal International Resources Development Co,10479,yancoal international resources development co,yancoal,Yancoal Australia (Non-NASDAQ OTC),249986,90.0,yancoal international,Coal International,46190,91.2,yancoal international resources,Coal International,46190,91.2
CJ Global Holdings Limited,10459,cj global holdings,cj,CJ Land Holdings (Berlin),285323,93.0,cj global,Global Securities,100799,90.0,cj global holdings,Global Holdings,54693,98.19999999999999
Enel Finance International S.A.,15181,enel finance international,enel,Enel Generacion Chile,88570,92.0,enel finance,Enel,87375,85.4,enel finance international,International,206505,93.39999999999999
Covidien International Finance S.A.,15180,covidien international finance,covidien,Covidien (XETRA),305390,90.4,covidien international,International,206505,92.0,covidien international finance,National Finance,43130,94.0
Tyco International Finance S.A.,15177,tyco international finance,tyco,Tyco International Cedear,150122,96.39999999999999,tyco international,Tyco International Cedear,150122,96.39999999999999,tyco international finance,Tyco International,68864,96.39999999999999
Digicel International Finance Ltd,15072,digicel international finance,digicel,Digicel Group Class A,64269,90.4,digicel international,International,206505,92.39999999999999,digicel international finance,National Finance,43130,94.2
PT Bank Commonwealth,10847,pt bank commonwealth,pt,Opta Minerals,10830,91.0,pt bank,T Bank,22692,89.2,pt bank commonwealth,Common,99799,89.2
MPH ACQUISITION HOLDINGS LLC,23848,mph acquisition holdings,mph,Symphony Holdings,105051,93.6,mph acquisition,MDH Acquisition Units,189105,89.6,mph acquisition holdings,SP Acquisition Holdings,200576,95.60000000000001
Pain Therapeutics Inc,20401,pain therapeutics,pain,Pain Therateutics (XETRA),307672,95.19999999999999,pain therapeutics,Rain Therapeutics,138008,94.0,pain therapeutics,Rain Therapeutics,138008,94.0
"Ant Group Co., Ltd.",7071,ant group,ant,Giant Group,129677,98.0,ant group,Giant Group,129677,98.0,ant group,Giant Group,129677,98.0
Block Financial LLC,21399,block financial,block,Block A,133115,92.8,block financial,Financial Trust,64753,95.0,block financial,Financial Trust,64753,95.0
"Anvil Holdings, Inc.",20776,anvil holdings,anvil,Anvil Mining,5152,93.8,anvil holdings,Hanil Holdings,119295,95.4,anvil holdings,Hanil Holdings,119295,95.4
CEMEX MATERIALS LLC,23906,cemex materials,cemex,Cemex Montenegro,91792,93.0,cemex materials,Chemx Materials,82175,93.0,cemex materials,Chemx Materials,82175,93.0
COTT HOLDINGS INC.,24178,cott holdings,cott,Cottco Holdings,125429,98.6,cott holdings,Jeffcott Holdings,2352,97.39999999999999,cott holdings,Jeffcott Holdings,2352,97.39999999999999
SURA Asset Management S.A.,7342,sura asset management,sura,Insurance Management (Berlin),301530,92.8,sura asset,Asset Trust,45085,87.6,sura asset management,ARA Asset Management,24259,94.6
NRW.BANK,7643,nrw.bank,nrw.bank,Security Bank,107132,93.39999999999999,nrw.bank,Security Bank,107132,93.39999999999999,nrw.bank,Security Bank,107132,93.39999999999999
Ngex Resources Inc,4753,ngex resources,ngex,Ngex Resources (XETRA),314006,95.6,ngex resources,Ngex Resources (XETRA),314006,95.6,ngex resources,Ngex Resources (XETRA),314006,95.6
