Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Alpha 2 B.V.,16438,alpha 2 b.v.,alpha,Alpha On,183,92.0,alpha 2,Alpha,107718,91.8,alpha 2 b.v.,Alpha,107718,91.8
Alpha 3 B.V.,16431,alpha 3 b.v.,alpha,Alpha On,183,92.0,alpha 3,Alpha,177278,91.8,alpha 3 b.v.,Alpha,107718,91.8
ALPHA BANK CYPRUS LTD,7376,alpha bank cyprus,alpha,Alpha Bank (XETRA),309700,93.8,alpha bank,Alpha Bank (XETRA),309700,93.8,alpha bank cyprus,Alpha,107717,89.0
ALPHA BANK ROMANIA SA,17123,alpha bank romania,alpha,Alpha Bank (XETRA),309700,94.39999999999999,alpha bank,Alpha Bank (XETRA),309700,94.39999999999999,alpha bank romania,Alpha,107718,88.6
Alpha Bank SA,998,alpha bank,alpha,Alpha On,183,95.6,alpha bank,Alpha Bank (XETRA),309700,94.2,alpha bank,Alpha Bank (XETRA),309700,94.2
ALPHA BANK SOCIETE ANONYME,10043,alpha bank societe anonyme,alpha,Alpha Bank (XETRA),309700,92.8,alpha bank,Alpha Bank (XETRA),309700,92.8,alpha bank societe,Alpha,107718,86.4
Alpha Credit Group PLC,9068,alpha credit group,alpha,Alpha DX Group,116749,96.19999999999999,alpha credit,Alpha,32218,88.6,alpha credit group,DIT Group,100130,93.39999999999999
Alpha Group Jersey Limited,12401,alpha group jersey,alpha,Alpha Security Group,192632,95.19999999999999,alpha group,Alpha Security Group,192632,95.19999999999999,alpha group jersey,Alpha Security Group,192632,95.19999999999999
"ALPHABET HOLDING COMPANY, INC.",23293,alphabet holding company,alphabet,Alphabet A (Lima),250973,92.6,alphabet holding,ETV Holding,17290,87.39999999999999,alphabet holding company,W Holding Company,201811,90.8
ANNINGTON FINANCE NO. 1 PLC,9002,annington finance no. 1,annington,Deutsche Annington Immobilien (Non-NASDAQ OTC),235953,89.2,annington finance,ONO Finance,49486,84.6,annington finance no.,ONO Finance,49486,84.6
ANNINGTON FUNDING PLC,9832,annington funding,annington,Deutsche Annington Immobilien (Non-NASDAQ OTC),235953,87.6,annington funding,Ann,59043,86.0,annington funding,Ann,59043,86.0
ANNINGTON LIMITED,9552,annington,annington,Ann,59043,90.0,annington,Ann,59043,90.0,annington,Ann,59043,90.0
ASCENDAS HOSPITALITY TRUST MANAGEMENT PTE. LTD,17888,ascendas hospitality management pte.,ascendas,Ascendas Hospitality REIT,32397,95.0,ascendas hospitality,Ascendas Hospitality REIT,32397,95.0,ascendas hospitality management,Management Trust,19747,88.6
ASCENDAS IT PARK (CHENNAI) LIMITED,11864,ascendas it park (chennai),ascendas,Ascendas India Trust (Berlin),267961,93.0,ascendas it,Ascendas India Trust (Berlin),267961,85.8,ascendas it park,Ark,32366,84.2
ASCENDAS PROPERTY FUND TRUSTEE PTE. LTD.,17878,ascendas property fund trustee pte.,ascendas,Ascendas REIT Units (Frankfurt),267962,91.6,ascendas property,Property Trust,49901,87.4,ascendas property fund,Property Trust,49901,87.4
ASCENDAS PTE LTD,17832,ascendas pte,ascendas,Ascendas India Trust,115365,93.8,ascendas pte,ASC Trust,304,88.0,ascendas pte,ASC Trust,304,88.0
Autopista Concesionaria Astur-Leonesa S.A.,8012,autopista concesionaria astur-leonesa,autopista,Autopista Los Libertadores SA,5382,91.39999999999999,autopista concesionaria,Top,86659,83.0,autopista concesionaria astur-leonesa,LEO,179510,83.0
"AUTOPISTA DEL GUADALMEDINA, CONCESIONARIA ESPA",8164,autopista del guadalmedina concesionaria espa,autopista,Autopistas del Sol (Non-NASDAQ OTC),243926,91.0,autopista del,Autopistas del Sol (Non-NASDAQ OTC),243926,84.60000000000001,autopista del guadalmedina,Dina,25579,83.2
"Autopista del Sol, Concesionaria Espanola S.A.",8092,autopista del sol concesionaria espanola,autopista,Autopistas del Sol (Non-NASDAQ OTC),243926,93.39999999999999,autopista del,Autopistas del Sol (Non-NASDAQ OTC),243926,87.0,autopista del sol,Autopistas del Sol (Non-NASDAQ OTC),243926,88.6
Autopista Fernao Dias S.A.,4319,autopista fernao dias,autopista,Autopistas del Sol,81475,93.39999999999999,autopista fernao,IST Limited,101603,85.0,autopista fernao dias,Dias,143874,86.4
